"BY RACE/SEX AND LOCATION","","","","","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,316","0","1,061
1","13
0","3
0","3
0","0
0
3,397"
"CMCF","1,492","443","808
528","19
2","5
2","2
0","0
0
3,301"
"SMCI","2,136","0","1,036
0","43
0","2
0","9
0","0
0
3,226"
"County Jails (approved)","907","41","529
62","5
0","2
1","4
0","0
0
1,551"
"County Jails (unapproved)","241","26","150
24","2
1","1
0","0
0","1
0
446"
"Youthful Offender Facility","24","0","8
0","1
0","0
0","0
0","0
0
33"
"Private Prisons","3,236","0","1,031
0","29
0","3
0","7
0","0
0
4,306"
"Regional Correctional Facilities","2,813","142","1,261
153","40
1","2
1","7
0","0
0
4,420"
"Community Work Centers","814","70","445
160","1
0","1
0","3
0","1
0
1,495"
"Community Trusties","6","0","4
0","0
0","0
0","0
0","0
0
10"
"Pending File Review","32","5","35
5","2
0","0
0","1
0","0
0
80"
"Court Order","198","12","121
26","2
0","0
0","2
0","0
0
361"
"","14,215","739","0
959","157
4","19
4","38
0","2
0
22,626"
"Intensive Supervison Program","668","190","488
255","5
3","3
0","3
2","5
2
1,624"
"Earned Release Supervision","1,027","80","454
104","4
1","3
0","2
0","0
0
1,675"
"Medical Release","16","1","5
2","0
0","0
0","0
0","0
0
24"
"Other Custody","224","11","165
28","45
5","0
1","4
0","4
0
487"
"At Large","19","0","8
2","3
0","0
0","0
0","0
0
32"
"Off-Grounds Medical (Hospital)","7","0","4
1","0
0","0
0","0
0","0
0
12"
"TOTAL","16,176","1,021","1,124
1,351","214
13","25
5","47
2","11
2
26,480"
"% OF TOTAL OFFENDERS","61.09%","3.86%","4.24%
5.10%",".81%
.05%",".09%
.02%",".18%
.01%",".04%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","782","765","160","1,199","492","3,398"
"CMCF","","865","1,068","191","830","346","3,300"
"SMCI","","671","820","171","1,031","533","3,226"
"County Jails (approved)","","779","647","24","68","33","1,551"
"Youthful Offender Facility","","0","6","0","22","5","33"
"County Jails (unapproved)","","166","192","21","48","19","446"
"Private Prisons","","495","912","280","2,025","594","4,306"
"Regional Correctional Facilities","","971","1,123","320","1,207","799","4,420"
"Community Work Centers","","902","587","2","4","0","1,495"
"Community Trusties","","","","0","0","0","10"
"Pending File Review","","3","1","2","0","4","80"
"Court Order","","146","149","7","45","14","361"
"TOTAL CUSTODY POPULATION","","5,827","6,303","1,178","6,479","2,839","22,626"
"% OF TOTAL OFFENSES","","25.75%","27.86%","5.21%","28.64%","12.55%","100.00%"
"Intensive Supervison Program","","729","826","15","47","7","1,624"
"Earned Release Supervision","","509","581","191","389","5","1,675"
"Medical Release","","11","7","1","5","","24"
"Other Custody","","203","177","10","74","3","487"
"At Large","","","8","","7","0","32"
"Off-Grounds Medical (Hospital)","","","","","1","1","12"
"TOTAL","","7,291","7,916","1,396","7,002","2,875","26,480"
"% OF TOTAL OFFENSES","","27.53%","29.90%","5.27%","26.44%","10.86%","7 4
7 5
3 3
41
0 1
0 2
100.00%"
