"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,170","","0","960","","0","20","","0","3","","0","7","","0","2","0","","3,162"
"CMCF","929","","356","530","","399","8","","4","1","","2","3","","1","2","0","","2,235"
"SMCI","1,528","","0","865","","0","35","","0","2","","0","6","","0","0","0","","2,436"
"County Jails (approved)","589","","25","330","","49","5","","0","0","","0","0","","1","0","0","","999"
"County Jails (unapproved)","153","","5","87","","10","1","","0","0","","0","1","","0","0","0","","257"
"Youthful Offender Facility","20","","0","4","","0","0","","0","0","","0","0","","0","0","0","","24"
"Private Prisons","2,949","","0","957","","0","25","","0","8","","0","9","","0","0","0","","3,948"
"Regional Correctional Facilities","2,697","","108","1,188","","131","37","","1","3","","0","10","","0","0","0","","4,175"
"Community Work Centers","541","","53","297","","126","0","","2","3","","0","1","","0","2","0","","1,025"
"Community Trusties","6","","0","2","","0","0","","0","0","","0","0","","0","0","0","","8"
"Pending File Review","33","","4","24","","5","0","","0","0","","0","1","","0","1","0","","68"
"Court Order","116","","5","84","","15","2","","2","0","","0","0","","1","0","0","","225"
"","11,731","","556","5,328","","735","133","","9","20","","2","38","","3","7","0","","18,562"
"Intensive Supervison Program","482","","127","379","","222","6","","3","0","","1","3","","0","1","1","","1,225"
"Earned Release Supervision","608","","59","194","","34","3","","1","0","","0","0","","0","0","0","","899"
"Medical Release","9","","0","7","","1","0","","0","0","","0","0","","0","0","0","","17"
"Other Custody","247","","13","186","","24","50","","6","2","","1","5","","0","3","0","","537"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","4","","0","3","","0","0","","0","0","","0","0","","0","0","0","","7"
"TOTAL","13,097","","755","6,103","","1,018","195","","19","22","","4","46","","3","11","1","","21,274"
"% OF TOTAL OFFENDERS","61.56%","","3.55%","28.69%","","4.79%",".92%","",".09%",".10%","",".02%",".22%","",".01%",".05%",".00%","","100.00%"
