
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,910","","68.76%","","","1,257","","49.27%","","","17,167","","","66.82%","","",""
"White","6,934","","29.97%","","","1,268","","49.71%","","","8,202","","","31.93%","","",""
"Hispanic","209","","0.90%","","","51
2","","0.47%","","","221","","0.86%","","","",""
"Native American","18","","0.08%","","","","","0.20%","","","23","","0.09%","","","",""
"Asian","46","","0.20%","","","4 5","","0.16%","","","50","","0.19%","","","",""
"Data Unavailable","22","","0.10%","","","","","0.20%","","","27","","0.11%","","","",""
"TOTAL","23,139","","100.00%","","","2,551","","100.00%","","","25,690","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,151","","2","1,135","","0","30","0","1","","0","7","0","0","0","4,326"
"CMCF","1,230","","792","693","","701","16","6","3","","2","4","2","1","0","3,450"
"SMCI","2,014","","0","989","","0","46","0","2","","0","12","0","0","0","3,063"
"County Jails (approved)","673","","61","458","","84","6","2","0","","0","3","0","3","0","1,290"
"County Jails (unapproved)","104","","16","53","","20","2","0","0","","0","0","0","2","0","197"
"Private Prisons","3,613","","0","1,120","","0","28","0","4","","0","5","0","4","0","4,774"
"Regional Correctional Facilities","2,165","","0","838","","0","23","0","2","","0","6","0","0","0","3,034"
"Community Work Centers","1,036","","112","500","","137","9","0","1","","2","2","0","2","0","1,801"
"Community Trusties","13","","0","4","","0","0","0","0","","0","0","0","0","0","17"
"Pending File Review","64","","2","39","","4","1","0","0","","0","1","0","0","0","111"
"Court Order","121","","15","104","","29","1","0","2","","0","0","0","0","0","272"
"","14,184","","1,000","5,933","","975","162","8","15","","4","40","2","12","0","22,335"
"Intensive Supervison Program","439","","130","399","","199","6","1","1","","1","0","2","6","4","1,188"
"Earned Release Supervision","1,095","","113","458","","77","5","0","2","","0","2","0","0","0","1,752"
"Medical Release","6","","1","6","","0","0","0","0","","0","0","0","0","0","13"
"Other Custody","133","","11","121","","14","32","3","0","","0","4","0","4","1","323"
"At Large","49","","2","16","","3","4","0","0","","0","0","0","0","0","74"
"Off-Grounds Medical (Hospital)","4","","0","1","","0","0","0","0","","0","0","0","0","0","5"
"TOTAL","15,910","","1,257","6,934","","1,268","209","12","18","","5","46","4","22","5","25,690"
"% OF TOTAL OFFENSES","61.93%","","4.89%","26.99%","","4.94%","0.81%","0.05%","0.07%","","0.02%","0.18%","0.02%","0.09%","0.02%","100.00%"
