"Data Unavailable
12",".06%","","","","1","","",".06%","","","13","","","",".06%"
"TOTAL","19,144","100.00%","","","","1,718","","","100.00%","","","20,862","","","","100.00%"
"","Black","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","Female","Male","Female","","Male","Female","Male","Female","Male","","Female","Male","Female",""
"MSP","2,174","0","1,066","1","","27","0","1","0","7","","0","0","0","3,276"
"CMCF","1,529","355","970","524","","29","4","5","2","6","","3","1","1","3,429"
"SMCI","1,954","0","1,001","0","","27","0","2","0","4","","0","0","0","2,988"
"County Jails (approved)","323","3","307","27","","3","0","0","0","1","","0","2","0","666"
"County Jails (unapproved)","213","7","142","29","","2","0","0","0","0","","0","4","0","397"
"Youthful Offender Facility","26","0","3","0","","1","0","0","0","0","","0","0","0","30"
"Private Prisons","2,228","0","816","0","","20","0","6","0","2","","0","0","0","3,072"
"Regional Correctional Facilities","2,352","92","1,294","137","","43","4","8","1","13","","0","1","0","3,945"
"Community Work Centers","308","34","216","116","","4","4","1","0","3","","1","0","0","687"
"Community Trusties","20","0","20","0","","0","0","0","0","1","","0","0","0","41"
"TVC","0","5","1","16","","0","0","0","0","0","","0","0","0","22"
"Transitional Housing","15","0","12","4","","0","0","0","0","0","","0","0","0","31"
"Pending File Review","46","3","48","4","","0","0","0","0","1","","0","0","0","102"
"RRP","42","5","42","12","","1","0","0","0","1","","0","0","0","103"
"Court Order","104","4","94","18","","2","0","0","0","1","","0","0","0","223"
"","11,334","508","6,032","888","","159","12","23","3","40","","4","8","1","19,012"
"Intensive Supervison Program","280","60","222","140","","4","2","1","1","1","","0","2","0","713"
"Earned Release Supervision","435","37","119","32","","1","1","0","0","0","","0","0","0","625"
"Medical Release","7","0","4","1","","0","0","0","0","0","","0","0","0","12"
"Other Custody","207","7","194","18","","25","0","1","0","2","","0","1","0","455"
"At Large","17","0","7","2","","3","0","0","0","0","","0","1","0","30"
"Conditional Release","1","0","1","1","","0","0","0","0","0","","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","","0","0","0","0","0","","0","0","0","6"
"Off-Grounds Medical (Hospital)","4","0","2","0","","0","0","0","0","0","","0","0","0","6"
"TOTAL","12,287","612","6,585","1,082","","192","15","25","4","43","","4","12","1","20,862"
"% OF TOTAL OFFENDERS","58.90%","2.93%","31.56%","5.19%","",".92%",".07%",".12%",".02%",".21%","",".02%",".06%",".00%","100.00%"
