"","","","","","","","As of March 1, 2010","","","","","","","","",""

"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,266","","68.16%","","","1,035","","46.06%","","","16,301","","","66.14%","","",""
"White","6,853","","30.60%","","","1,188","","52.87%","","","8,041","","","32.63%","","",""
"Hispanic","214","","0.96%","","","5","","0.67%","","","229","","0.93%","","","",""
"Native American","24","","0.11%","","","61","","0.27%","","","30","","0.12%","","","",""
"Asian","30","","0.13%","","","","","0.09%","","","32","","0.13%","","","",""
"Data Unavailable","11","","0.05%","","","2 1","","0.04%","","","12","","0.05%","","","",""
"TOTAL","22,398","","100.00%","","","2,247","","100.00%","","","24,645","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,792","","2","1,085","","1","19","0","2","","0","3","0","0","0","3,904"
"CMCF","1,327","","584","777","","612","18","6","1","","2","3","2","1","0","3,333"
"SMCI","1,975","","0","1,053","","0","45","0","3","","0","3","0","0","0","3,079"
"County Jails (approved)","562","","71","317","","69","4","1","0","","0","0","0","1","1","1,026"
"County Jails (unapproved)","79","","3","42","","4","5","0","0","","0","0","0","1","0","134"
"Private Prisons","3,820","","0","1,315","","0","32","0","6","","0","7","0","1","0","5,181"
"Regional Correctional Facilities","1,698","","33","723","","27","24","0","5","","0","6","0","2","0","2,518"
"Community Work Centers","1,022","","79","446","","146","8","4","1","","2","0","0","0","0","1,708"
"Community Trusties","13","","0","3","","0","0","0","0","","0","0","0","0","0","16"
"Pending File Review","70","","9","52","","26","1","0","0","","0","0","0","0","0","158"
"Court Order","149","","10","87","","10","0","0","0","","0","0","0","0","0","256"
"","13,507","","791","5,900","","895","156","11","18","","4","22","2","6","1","21,313"
"Intensive Supervison Program","628","","156","476","","227","10","0","3","","1","4","0","1","0","1,506"
"Earned Release Supervision","924","","71","335","","47","4","1","2","","0","2","0","0","0","1,386"
"Medical Release","19","","7","10","","1","0","0","0","","0","0","0","0","0","37"
"Other Custody","156","","10","117","","15","41","3","1","","1","2","0","4","0","350"
"At Large","26","","0","13","","2","3","0","0","","0","0","0","0","0","44"
"Off-Grounds Medical (Hospital)","6","","0","2","","1","0","0","0","","0","0","0","0","0","9"
"TOTAL","15,266","","1,035","6,853","","1,188","214","15","24","","6","30","2","11","1","24,645"
"% OF TOTAL OFFENSES","61.94%","","4.20%","27.81%","","4.82%","0.87%","0.06%","0.10%","","0.02%","0.12%","0.01%","0.04%","0.00%","100.00%"
