"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","15,437","","67.19%","","","","923","","","41.02%","","","","16,360","","","","64.86%"
"White","7,253","","31.57%","","","","1,303","","","57.91%","","","","8,556","","","","33.92%"
"Hispanic","208","",".91%","","","","14","","",".62%","","","","222","","","",".88%"
"Native American","29","",".13%","","","","","","",".22%","","","","34","","","",".13%"
"Asian","34","",".15%","","","","5 4","","",".18%","","","","38","","","",".15%"
"Data Unavailable","14","",".06%","","","","1","","",".04%","","","","15","","","",".06%"
"TOTAL","22,975","","100.00%","","","","2,250","","","100.00%","","","","25,225","","","","100.00%"

"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""


"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,085","","0","958","0","","16","0","","1","0","3","","0","0","0","3,063"
"CMCF","1,291","","396","790","508","","20","4","","2","3","3","","1","0","0","3,018"
"SMCI","2,127","","0","1,021","0","","34","0","","4","0","4","","0","0","0","3,190"
"County Jails (approved)","735","","43","406","78","","4","1","","1","0","0","","0","4","0","1,272"
"County Jails (unapproved)","244","","11","125","19","","1","0","","4","0","1","","1","2","0","408"
"Private Prisons","3,825","","0","1,247","0","","33","0","","4","0","8","","0","0","0","5,117"
"Regional Correctional Facilities","2,134","","132","1,041","163","","33","0","","1","0","6","","1","2","0","3,513"
"Community Work Centers","876","","63","390","126","","6","2","","4","0","3","","1","0","0","1,471"
"Community Trusties","8","","0","7","0","","0","0","","0","0","0","","0","0","0","15"
"Pending File Review","40","","5","23","16","","1","0","","1","0","0","","0","0","0","86"
"Court Order","228","","7","119","27","","0","0","","0","0","1","","0","0","0","382"
"","13,593","","657","6,127","937","","148","7","","22","3","29","","4","8","0","21,535"
"Intensive Supervison Program","612","","161","576","261","","8","2","","3","1","2","","0","1","1","1,628"
"Earned Release Supervision","1,007","","92","394","80","","5","1","","3","0","0","","0","0","0","1,582"
"Medical Release","13","","5","5","2","","0","0","","0","0","0","","0","0","0","25"
"Other Custody","185","","7","136","21","","44","4","","1","1","3","","0","5","0","407"
"At Large","21","","0","12","2","","3","0","","0","0","0","","0","0","0","38"
"Off-Grounds Medical (Hospital)","6","","1","3","0","","0","0","","0","0","0","","0","0","0","10"
"TOTAL","15,437","","923","7,253","1,303","","208","14","","29","5","34","","4","14","1","25,225"
"% OF TOTAL OFFENDERS","61.20%","","3.66%","28.75%","5.17%","",".82%",".06%","",".11%",".02%",".13%","",".02%",".06%",".00%","100.00%"
