"Off-Grounds Medical (Hospital)","","","0","","","","","","6","","","","","","","0.03%"
"At Large (Escapees & Walk-Aways)","","","0","","","","","","30","","","","","","","0.14%"
"TOTAL","","","23,881","","","","","","20,825","","","","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"

"RACE","MALE","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,293","64.28%","","","","615","","","36.16%","","","","12,908","","","","61.98%"
"White","6,561","34.31%","","","","1,061","","","62.38%","","","","7,622","","","","36.60%"
"Hispanic","196","1.02%","","","","15","","",".88%","","","","211","","","","1.01%"
"Native American","26",".14%","","","","4","","",".24%","","","","30","","","",".14%"
"Asian","40",".21%","","","","4","","",".24%","","","","44","","","",".21%"
"Data Unavailable","8",".04%","","","","2","","",".12%","","","","10","","","",".05%"
"TOTAL","19,124","100.00%","","","","1,701","","","100.00%","","","","20,825","","","","100.00%"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,259","0","1,041","1","","27","0","2","","0","7","","0","0","0","3,337"
"CMCF","1,537","339","1,025","528","","28","5","6","","2","5","","3","1","1","3,480"
"SMCI","1,687","0","901","0","","25","0","1","","0","3","","0","0","0","2,617"
"County Jails (approved)","344","6","300","30","","5","0","0","","0","1","","0","1","0","687"
"County Jails (unapproved)","179","6","115","17","","6","0","0","","0","1","","0","0","1","325"
"Youthful Offender Facility","22","0","3","0","","1","0","0","","0","0","","0","0","0","26"
"Private Prisons","2,247","0","839","0","","20","0","7","","0","1","","0","0","0","3,114"
"Regional Correctional Facilities","2,529","101","1,384","129","","48","4","7","","1","13","","0","1","0","4,217"
"Community Work Centers","303","34","207","117","","2","3","1","","0","1","","1","0","0","669"
"Community Trusties","20","0","16","0","","0","0","0","","0","1","","0","0","0","37"
"TVC","1","5","0","16","","0","0","0","","0","0","","0","0","0","22"
"Transitional Housing","18","1","12","6","","0","0","0","","0","0","","0","0","0","37"
"Pending File Review","50","2","49","5","","0","0","0","","0","2","","0","0","0","108"
"RRP","44","6","41","12","","1","0","0","","0","1","","0","0","0","105"
"Court Order","110","2","95","17","","1","0","0","","0","1","","0","1","0","227"
"","11,350","502","6,028","878","","164","12","24","","3","37","","4","4","2","19,008"
"Intensive Supervison Program","282","70","202","128","","4","2","1","","1","1","","0","2","0","693"
"Earned Release Supervision","420","36","121","33","","0","1","0","","0","0","","0","0","0","611"
"Medical Release","7","0","4","1","","0","0","0","","0","0","","0","0","0","12"
"Other Custody","210","7","192","18","","25","0","1","","0","2","","0","1","0","456"
"At Large","17","0","7","2","","3","0","0","","0","0","","0","1","0","30"
"Conditional Release","1","0","1","1","","0","0","0","","0","0","","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","","0","0","0","","0","0","","0","0","0","6"
"Off-Grounds Medical (Hospital)","4","0","2","0","","0","0","0","","0","0","","0","0","0","6"
"TOTAL","12,293","615","6,561","1,061","","196","15","26","","4","40","","4","8","2","20,825"
"% OF TOTAL OFFENDERS","59.03%","2.95%","31.51%","5.09%","",".94%",".07%",".12%","",".02%",".19%","",".02%",".04%",".01%","100.00%"
