"TOTAL
22,262","","100.00%","","2,373","","100.00%","","24,635","","","100.00%","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,218","","0","1,197","0","39","0","1","0","4","0","0","0","4,459"
"CMCF","1,158","","750","693","635","13","8","6","1","0","4","1","0","3,269"
"SMCI","1,229","","0","667","0","19","0","4","0","6","0","0","0","1,925"
"County Jails (approved)","638","","58","465","79","12","2","0","0","2","0","6","1","1,263"
"County Jails (unapproved)","32","","3","32","4","0","0","0","0","0","0","0","0","71"
"Private Prisons","3,628","","0","1,126","0","20","0","9","0","8","0","3","0","4,794"
"Regional Correctional Facilities","2,256","","0","756","0","16","0","2","0","7","0","2","0","3,039"
"Community Work Centers","1,032","","107","500","108","12","2","1","1","2","0","1","0","1,766"
"Community Trusties","10","","0","7","0","0","0","0","0","0","0","0","0","17"
"Pending File Review","21","","3","13","3","0","0","0","0","0","0","0","0","40"
"Court Order","176","","11","132","35","2","0","0","0","1","0","1","0","358"
"","13,398","","932","5,588","864","133","12","23","2","30","4","14","1","21,001"
"Intensive Supervison Program","622","","153","555","200","5","1","1","0","1","0","10","1","1,549"
"Earned Release Supervision","1,026","","86","416","82","3","0","1","0","1","0","0","0","1,615"
"Medical Release","6","","0","4","0","0","0","0","0","0","0","0","0","10"
"Other Custody","139","","8","126","14","24","0","0","0","2","0","2","0","315"
"At Large","83","","6","43","4","3","0","0","0","0","0","0","0","139"
"Off-Grounds Medical (Hospital)","1","","2","2","1","0","0","0","0","0","0","0","0","6"
"TOTAL","15,275","","1,187","6,734","1,165","168","13","25","2","34","4","26","2","24,635"
"% OF TOTAL OFFENSES","62.01%","","4.82%","27.34%","4.73%","0.68%","0.05%","0.10%","0.01%","0.14%","0.02%","0.11%","0.01%","100.00%"
