"At Large (Escapees & Walk-Aways)","","","","0","","25","","","0.12%","","","","",""
"TOTAL","","","","23,881","","20,893","","","100.00%","","","","",""
"","","","% OF","","","% OF","","","","","% OF","","",""
"","","TOTAL MALE","","","","TOTAL FEMALE","","NO. OF","","","TOTAL","","",""

"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OFFENDERS","% OF TOTAL OFFENDERS"

"Black","12,388","","64.43%","595","","35.69%","","12,983","","","62.14%","","",""
"White","6,557","","34.10%","1,048","","62.87%","","7,605","","","36.40%","","",""
"Hispanic","198","","1.03%","15","",".90%","","213","","","1.02%","","",""
"Native American","26","",".14%","4","",".24%","","30","","",".14%","","",""
"Asian","52","",".27%","3","",".18%","","55","","",".26%","","",""
"Data Unavailable","5","",".03%","2","",".12%","","7","","",".03%","","",""
"TOTAL","19,226","","100.00%","1,667","","100.00%","","20,893","","","100.00%","","",""
"","Black","","White","","","Hispanic","","Native American","","","Asian","Data Unavailable","","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,249","0","940","0","35","0","3","","0","10","0","2","0","3,239"
"CMCF","1,607","380","1,035","570","27","6","3","","1","8","1","0","1","3,639"
"SMCI","1,859","0","1,010","0","34","0","2","","0","6","0","0","0","2,911"
"County Jails (approved)","368","3","322","5","3","0","0","","0","3","0","1","0","705"
"County Jails (unapproved)","147","8","94","14","5","0","0","","0","0","0","1","0","269"
"Youthful Offender Facility","34","0","2","0","0","0","0","","0","0","0","0","0","36"
"Private Prisons","2,248","0","875","0","13","0","7","","0","4","0","0","0","3,147"
"Regional Correctional Facilities","2,351","66","1,292","97","44","2","8","","0","12","0","0","0","3,872"
"Community Work Centers","280","21","203","132","3","1","1","","2","2","1","0","0","646"
"Community Trusties","6","0","1","0","0","0","0","","0","0","0","0","0","7"
"TVC","40","0","32","0","0","0","0","","0","0","0","0","0","72"
"Transitional Housing","7","2","5","7","0","0","0","","0","0","0","0","0","21"
"Pending File Review","61","2","32","12","1","0","1","","0","1","0","0","0","110"
"RRP","21","4","25","24","0","1","0","","0","0","0","0","0","75"
"Court Order","136","11","112","21","1","1","0","","0","2","0","0","0","284"
"","11,414","497","5,980","882","166","11","25","","3","48","2","4","1","19,033"
"Intensive Supervison Program","320","67","258","117","2","2","0","","0","1","1","0","1","769"
"Earned Release Supervision","393","24","124","20","1","2","0","","1","1","0","0","0","566"
"Medical Release","7","0","7","1","0","0","0","","0","0","0","0","0","15"
"Other Custody","233","6","175","22","26","0","1","","0","2","0","1","0","466"
"At Large","15","0","5","2","3","0","0","","0","0","0","0","0","25"
"Conditional Release","1","0","1","1","0","0","0","","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","3","1","3","3","0","0","0","","0","0","0","0","0","10"
"TOTAL","12,388","595","6,557","1,048","198","15","26","","4","52","3","5","2","20,893"
"% OF TOTAL OFFENDERS","59.29%","2.85%","31.38%","5.02%",".95%",".07%",".12%","",".02%",".25%",".01%",".02%",".01%","100.00%"
