"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,152","","0","947","","0","20","","0","4","","0","6","","0","1","0","","3,130"
"CMCF","945","","350","504","","388","8","","4","1","","2","3","","1","2","0","","2,208"
"SMCI","1,507","","0","852","","0","32","","0","1","","0","8","","0","0","0","","2,400"
"County Jails (approved)","577","","25","341","","47","4","","0","0","","0","0","","1","0","0","","995"
"County Jails (unapproved)","176","","9","112","","18","3","","0","3","","0","0","","0","0","0","","321"
"Youthful Offender Facility","20","","0","4","","0","0","","0","0","","0","0","","0","0","0","","24"
"Private Prisons","2,963","","0","981","","0","30","","0","7","","0","7","","0","0","0","","3,988"
"Regional Correctional Facilities","2,736","","117","1,189","","131","41","","1","3","","0","11","","0","0","0","","4,229"
"Community Work Centers","564","","52","301","","120","0","","2","3","","0","1","","0","2","0","","1,045"
"Community Trusties","6","","0","2","","0","0","","0","0","","0","0","","0","0","0","","8"
"Pending File Review","12","","2","9","","4","1","","0","0","","0","1","","0","0","0","","29"
"Court Order","114","","5","80","","17","0","","0","0","","0","0","","1","0","0","","217"
"","11,772","","560","5,322","","725","139","","7","22","","2","37","","3","5","0","","18,594"
"Intensive Supervison Program","489","","128","382","","221","5","","4","0","","2","3","","0","1","1","","1,236"
"Earned Release Supervision","610","","59","207","","38","3","","1","0","","0","1","","0","0","0","","919"
"Medical Release","9","","0","7","","1","0","","0","0","","0","0","","0","0","0","","17"
"Other Custody","244","","12","189","","23","50","","6","2","","1","5","","0","3","0","","535"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","3","","0","2","","0","0","","0","0","","0","0","","0","0","0","","5"
"TOTAL","13,143","","759","6,115","","1,010","200","","18","24","","5","46","","3","9","1","","21,333"
"% OF TOTAL OFFENDERS","61.61%","","3.56%","28.66%","","4.73%",".94%","",".08%",".11%","",".02%",".22%","",".01%",".04%",".00%","","100.00%"
