"TYPE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Custody Population (Inmate and RRP status)","19,201","35.92%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1,384","2.59%"
"Other Custody","458",".86%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","11",".02%"
"INMATE TOTAL","21,080","39.43%"
"PAROLEES","8,763","16.39%"
"TVC Parole","325","0.61%"
"PROBATIONERS","23,157","43.32%"
"TVC Probation","133","0.25%"
"PAROLEE AND PROBATIONER TOTAL","32,378","60.57%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53,458","100.00%"
