"","Fact Sheet","",""
"","","As of September 3, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","9",".04%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","63",".30%"
"TVC","0","88",".42%"
"Transitional Housing","0","41",".20%"
"Court Order","0","227","1.08%"
"RRP","0","69",".33%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,087","90.85%"
"Intensive Supervision Program","0","804","3.83%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","569","2.71%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,395","6.64%"
"Other Custody","0","488","2.32%"
"Off-Grounds Medical (Hospital)","0","15","0.07%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23,881","21,009","100.00%"
