"","","As of August 1, 2019","","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","398","353","553","1,928","3,232"
"CMCF","925","926","356","1,429","3,636"
"SMCI","464","404","483","1,294","2,645"
"Youthful Offender Facility","0","5","2","16","23"
"County Jails (approved)","381","171","7","161","720"
"County Jails (unapproved)","79","111","5","57","252"
"Private Prisons","245","247","539","2,138","3,169"
"Regional Correctional Facilities","714","589","857","2,139","4,299"
"Community Work Centers","371","128","0","105","604"
"Community Trusties","7","2","0","0","9"
"Pending File Review","20","24","0","13","57"
"Court Order","84","70","9","82","245"
"Transitional Housing","11","8","1","7","27"
"RRP","23","33","0","8","64"
"TVC","54","11","0","16","81"
"TOTAL CUSTODY POPULATION","3,776","3,082","2,812","9,393","19,063"
"% OF TOTAL OFFENSES","19.81%","16.17%","14.75%","49.27%","100.00%"
"Intensive Supervison Program","334","384","9","95","822"
"Earned Release Supervision","42","38","12","496","588"
"Medical Release","9","2","0","4","15"
"Other Custody","154","172","27","126","479"
"At Large","6","11","0","7","24"
"Conditional Release","0","0","0","2",""
"FTR- Monitoring","2","3","1","0",""
"Off-Grounds Medical (Hospital)","4","2","5","8","19"
"TOTAL","4,327","3,694","2,866","10,131","21,018"
"% OF TOTAL OFFENSES","20.59%","17.58%","13.64%","48.20%","2 6
100.00%"
