"TOTAL
22,362","","100.00%","","","2,106","","","100.00%","","24,468","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,210","","1","979","0","20","0","1","0","4","0","0","0","3,215"
"CMCF","1,258","","489","779","556","19","5","4","4","3","1","0","0","3,118"
"SMCI","2,108","","0","1,006","0","44","0","7","0","4","0","0","0","3,169"
"County Jails (approved)","618","","51","368","78","3","0","2","0","0","0","1","0","1,121"
"County Jails (unapproved)","123","","1","73","7","4","0","0","0","1","0","1","0","210"
"Private Prisons","3,908","","0","1,261","0","29","0","8","0","2","0","1","0","5,209"
"Regional Correctional Facilities","1,983","","28","912","31","31","0","2","0","6","0","2","0","2,995"
"Community Work Centers","803","","65","421","131","4","1","0","0","4","0","0","0","1,429"
"Community Trusties","11","","0","4","0","0","0","0","0","0","0","0","0","15"
"Pending File Review","48","","10","25","13","2","0","0","0","0","0","0","0","98"
"Court Order","167","","17","113","18","1","0","1","0","1","0","0","0","318"
"","13,237","","662","5,941","834","157","6","25","4","25","1","5","0","20,897"
"Intensive Supervison Program","649","","159","562","251","10","0","6","1","7","1","1","1","1,648"
"Earned Release Supervision","917","","77","393","62","6","0","0","1","3","0","0","0","1,459"
"Medical Release","22","","8","9","3","0","0","0","0","0","0","0","0","42"
"Other Custody","169","","8","127","19","37","5","2","1","2","0","5","0","375"
"At Large","23","","0","11","2","3","0","0","0","0","0","0","0","39"
"Off-Grounds Medical (Hospital)","4","","0","4","0","0","0","0","0","0","0","0","0","8"
"TOTAL","15,021","","914","7,047","1,171","213","11","33","7","37","2","11","1","24,468"
"% OF TOTAL OFFENDERS","61.39%","","3.74%","28.80%","4.79%",".87%",".04%",".13%",".03%",".15%",".01%",".04%",".00%","100.00%"
