"BY OFFENSE AND LOCATION","","","","","",""
"","DRUG","","PROPERTY","VIOLENT","",""
"LOCATION","OFFENSES","","OFFENSES","OFFENSES","TOTAL",""
"MSP","","1,408","1,297","2,999","","5,704"
"CMCF","","1,070","1,142","976","","3,188"
"SMCI","","693","747","711","","2,151"
"County Jails (approved)","","808","682","270","","1,760"
"County Jails (unapproved)","","73","88","40","","201"
"Private Prisons","","669","942","1,867","","3,478"
"Regional Correctional Facilities","","881","589","1,120","","2,590"
"Community Work Centers","","770","636","10","","1,416"
"Community Trusties","","9","9","5","","23"
"","","6,381","6,132","7,998","","20,511"
"Intensive Supervison Program","","472","895","39","","1,406"
"Earned Release Supervision","","462","491","229","","1,182"
"Medical Release","","0","0","0","","0"
