"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"7,183 
  
1,026 
  
8,209","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","2,556","579","","3,135","38.19"
"Black","4,524","435","","4,959","60.41"
"Hispanic","63","8","","71",".86"
"Other","30","4","","34",".41"
"Unknown","10","0","","10",".12"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"16","3","0","","3",".04"
"17","12","0","","12",".15"
"18 - 19","212","10","","222","2.70"
"20  -  29","2,931","324","","3,255","39.65"
"30  -  39","2,034","355","","2,389","29.10"
"40  -  49","1,434","270","","1,704","20.76"
"50  -  59","454","58","","512","6.24"
"60  -  69","81","8","","89","1.08"
"70  -  79","19","1","","20",".24"
"80+","3","0","","3",".04"
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Property","2,001","453","","2,454","29.89"
"Possession of Drugs","1,744","291","","2,035","24.79"
"Burglary","1,304","75","","1,379","16.80"
"Sale of Drugs","789","116","","905","11.02"
"Robbery","463","20","","483","5.88"
"Violent","427","43","","470","5.73"
"Sex Offense","286","5","","291","3.54"
"Homicide/Manslaughter","169","23","","192","2.34"
