"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Abscond","2","2","2","1","1","52",".63"
"Appeal","0","1","0","0","0","3",".04"
"Closed","0","0","0","0","0","2",".02"
"Death","1","0","2","0","0","16",".19"
"Death by Inmate","0","0","0","1","0","1",".01"
"Death/Execution","0","0","0","0","0","1",".01"
"Death/Natural Causes","6","5","4","5","4","63",".77"
"Death/Suicide","0","0","0","0","2","2",".02"
"Discharge to Probation","1","6","3","3","3","85","1.04"
"Discharged","1","1","0","2","0","8",".10"
"Discharged-Held In","0","0","0","1","0","2",".02"
"Dismissed","0","0","0","0","0","1",".01"
"ERS","125","203","206","240","174","1,691","20.60"
"Escape","0","0","0","0","0","1",".01"
"Expiration","131","143","134","115","106","1,690","20.59"
"House Arrest/ISP","5","26","31","31","22","254","3.09"
"Inactive Probation/Parole","1","0","0","0","1","4",".05"
"Inmate","7","8","4","8","13","87","1.06"
"Medical Release","1","0","0","0","0","1",".01"
"Non-Report","0","0","0","1","1","8",".10"
"Out of State","12","16","17","8","6","132","1.61"
"Parole","40","48","63","61","55","559","6.81"
"Pending","0","1","0","1","0","3",".04"
"Pending Arrival","1","0","0","0","3","5",".06"
"Probation","175","195","192","201","163","2,099","25.57"
"Rejected Compact","0","0","0","0","0","4",".05"
"Remanded","0","0","0","0","0","1",".01"
"RID on Street","1","2","7","3","8","36",".44"
"Shock Probation","5","3","0","0","0","31",".38"
"Unsupervised Probation","1","2","4","3","3","20",".24"
"Release Type Unknown","88","113","91","97","71","1,347","16.41"
"TOTAL","604","775","760","782","636","8,209","100.00"
