"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","48","74","1","0","123","11.99"
"1 - 2 Years","116","160","2","0","278","27.10"
"3 - 5 Years","161","244","2","4","411","40.06"
"6 - 10 Years","81","72","3","0","156","15.20"
"11 - 20 Years","22","21","0","0","43","4.19"
"21 -30 Years","0","3","0","0","3",".29"
"Greater Than 30 Years","1","0","0","0","1",".10"
"Life","5","2","0","0","7",".68"
"Death","0","0","0","0","0",".00"
"Verification Pending","1","3","0","0","4",".39"
"TOTAL","435","579","8","4","1,026","100%"
