"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Abscond","3","12","8","2","4","5","10"
"Appeal","0","0","1","0","1","0","0"
"Closed","0","1","0","0","0","0","1"
"Death","4","3","1","0","0","2","3"
"Death by Inmate","0","0","0","0","0","0","0"
"Death/Execution","0","0","0","1","0","0","0"
"Death/Natural Causes","5","2","4","6","6","7","9"
"Death/Suicide","0","0","0","0","0","0","0"
"Discharge to Probation","13","11","15","9","4","12","5"
"Discharged","0","1","0","2","0","1","0"
"Discharged-Held In","0","1","0","0","0","0","0"
"Dismissed","0","0","1","0","0","0","0"
"ERS","85","77","95","79","94","154","159"
"Escape","0","1","0","0","0","0","0"
"Expiration","153","162","148","171","147","147","133"
"House Arrest/ISP","10","17","13","5","44","21","29"
"Inactive Probation/Parole","2","0","0","0","0","0","0"
"Inmate","11","11","1","6","4","6","8"
"Medical Release","0","0","0","0","0","0","0"
"Non-Report","1","1","0","1","0","0","3"
"Out of State","12","13","9","8","12","13","6"
"Parole","32","43","39","53","38","37","50"
"Pending","0","1","0","0","0","0","0"
"Pending Arrival","1","0","0","0","0","0","0"
"Probation","187","170","147","178","150","166","175"
"Rejected Compact","0","1","2","0","0","0","1"
"Remanded","0","0","0","0","0","1","0"
"RID on Street","2","1","0","2","2","4","4"
"Shock Probation","5","1","4","4","4","3","2"
"Unsupervised Probation","1","0","0","1","2","3","0"
"Release Type Unknown","106","135","115","131","137","121","142"
"TOTAL","633","665","603","659","649","703","740"
