"Other Property Offenses
(continued)","MALES","","","","Data
Unavailable","FEMALES","","","","Total","Percent"
"","Black","White","Hispanic","Other","","Black","White","Hispanic","Other","",""
"Production of Pornography","0","1","0","0","0","0","0","0","0","1","0.02%"
"Property Crime","3","38","0","0","0","1","2","0","0","44","0.95%"
"Receiving Stolen Property","113","54","1","0","0","4","4","0","0","176","3.82%"
"Sale of Stolen Property","2","1","0","0","0","0","0","0","0","3","0.07%"
"Shoplifting","162","30","1","0","0","92","18","0","0","303","6.57%"
"Simple Assault-Police Officer","52","24","2","0","0","4","3","0","0","85","1.84%"
"Smuggling Contraband/Prison","1","0","0","0","0","0","0","0","0","1","0.02%"
"Stolen Property","1","0","0","0","0","0","0","0","0","1","0.02%"
"Stolen Vehicle","0","1","0","0","0","0","0","0","0","1","0.02%"
"Theft by Taking","0","1","0","0","0","0","0","0","0","1","0.02%"
"Threat to Bomb","1","0","0","0","0","0","0","0","0","1","0.02%"
"Traffic Offenses","3","5","0","0","0","1","0","0","0","9","0.20%"
"Transport Interstate Stolen Property","0","0","0","0","0","1","0","0","0","1","0.02%"
"Uttering Forgery","260","161","1","1","0","126","128","0","0","677","14.68%"
"Vehicle Theft","101","41","0","0","0","3","3","0","0","148","3.21%"
"Violation / Quarantine","2","0","0","0","0","0","0","0","0","2","0.04%"
"Weapon Offense","16","1","0","0","0","1","1","0","0","19","0.41%"
"Worthless Checks","14","15","0","0","0","16","8","0","0","53","1.15%"
"Total","2,089","1,621","17","22","0","416","438","1","7","4,611","100.00%"
