"MALES
Offenses","","","","","Data","FEMALES
Total","","","","","Percent"
"Black
White
Hispanic
Other","","","","","Unavailable","Black
White
Hispanic
Other","","","","",""
"BURGLARY","","","","","","","","","","",""
"Residential","1,026","520","5","5","0","36","64","0","0","1,656","47.78%"
"Non-Residential","478","236","2","1","0","4","16","0","0","737","21.26%"
"Tool Possession","7","1","0","0","0","0","0","0","0","8","0.23%"
"Occupied Dwelling","39","11","0","0","0","0","0","0","0","50","1.44%"
"Vehicle","276","113","2","1","0","4","7","0","0","403","11.63%"
"Larceny - Residential","50","76","0","0","0","2","7","0","0","135","3.89%"
"Larceny - Non-Residential","21","37","1","0","0","1","4","0","0","64","1.85%"
"Larceny - Vehicle","16","17","0","0","0","0","1","1","0","35","1.01%"
"Larceny - Unoccupied Dwelling","0","1","0","0","0","0","0","0","0","1","0.03%"
"Larceny - Occupied Dwelling","0","3","0","0","0","0","0","0","0","3","0.09%"
"General","196","156","0","3","0","3","10","0","0","368","10.62%"
"Violation of the Mississippi RICO Act","1","3","2","0","0","0","0","0","0","6","0.17%"
"Total","2,110","1,174","12","10","0","50","109","1","0","3,466","100.00%"
