"Location","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","AVG"
"MS STATE PENITENTIARY","5,673","5,708","5,686","5,694","5,670","5,634","5,607","5,662","5,706","5,556","5,198","4,907","5,559"
"CENTRAL MS CORRECTIONAL FACILITY","3,160","3,096","3,093","3,145","3,086","3,111","3,196","3,172","3,249","3,193","3,153","3,168","3,152"
"SOUTH MS CORRECTIONAL INSTITUTION","2,157","2,134","2,125","2,100","2,097","2,118","2,105","2,071","2,064","2,146","2,180","2,187","2,124"
"COUNTY JAILS","2,029","2,002","2,018","1,940","1,931","1,995","1,930","2,067","2,152","2,146","2,142","2,174","2,044"
"COMMUNITY WORK CENTERS","1,391","1,430","1,464","1,516","1,505","1,516","1,500","1,549","1,598","1,645","1,719","1,719","1,546"
"Alcorn Satellite Facility","86","86","81","85","88","92","88","88","90","89","90","89","88"
"Bolivar Satellite Facility","68","67","69","71","70","76","79","89","98","100","99","98","82"
"Forrest Satellite Facility","74","85","94","87","93","94","93","92","93","94","93","93","90"
"George Satellite Facility","94","91","89","90","77","67","66","71","68","82","97","99","82"
"Harrison Satellite Facility","72","73","71","68","66","65","66","80","91","91","99","97","78"
"Jackson Satellite Facility","72","72","71","72","73","70","62","68","74","81","96","99","76"
"Jefferson Satellite Facility","73","78","86","86","77","72","70","77","80","89","97","97","82"
"Leflore Satellite Facility","90","88","88","94","93","98","99","99","100","100","99","99","95"
"Madison Satellite Facility","91","91","87","98","101","101","98","100","100","101","100","100","97"
"Noxubee Satellite Facility","69","71","80","89","89","89","89","90","89","89","91","90","85"
"Pike Satellite Facility","55","51","50","46","40","42","44","51","57","68","69","70","53"
"Quitman Satellite Facility","65","59","55","72","71","77","77","79","81","78","80","86","73"
"Rankin Satellite Facility","166","199","219","219","222","217","214","204","206","202","214","213","208"
"Simpson Satellite Facility","77","87","90","94","91","101","99","97","98","100","100","98","94"
"Washington Satellite Facility","88","86","84","86","87","85","90","97","97","100","99","95","91"
"Wilkinson Satellite Facility","63","55","54","64","70","72","70","69","76","83","96","97","72"
"Yazoo Satellite Facility","90","92","98","97","98","99","98","99","100","100","100","100","98"
"REGIONAL CORRECTIONAL FACILITIES","2,580","2,574","2,575","2,597","2,742","2,745","2,739","2,740","2,741","2,745","2,744","2,744","2,689"
"Bolivar County","235","230","234","236","249","249","249","249","249","250","250","250","244"
"Carroll County","235","235","235","237","249","250","249","249","249","250","249","250","245"
"George County","235","234","235","235","249","249","249","248","249","248","249","249","244"
"Holmes County","234","235","235","239","250","250","249","249","250","250","250","249","245"
"Issaquena County","235","235","233","237","249","250","249","248","248","249","249","250","244"
"Jefferson County","234","235","231","230","250","249","248","249","250","250","250","250","244"
"Kemper County","235","233","235","236","249","250","249","249","250","250","249","250","244"
"Leake County","235","234","234","237","250","249","250","250","250","250","250","249","245"
"Marion County","234","234","236","238","249","250","249","249","250","250","249","250","245"
"Stone County","235","235","233","238","250","250","249","250","249","250","250","250","245"
"Winston County","234","235","235","236","249","250","249","250","249","250","249","250","245"
"PRIVATE PRISONS","3,428","3,454","3,453","3,451","3,435","3,441","3,443","3,432","3,432","3,626","4,000","4,345","3,578"
"Delta (Opened April 2004)","0","0","0","0","0","0","0","0","0","199","578","903","140"
"East MS","715","727","726","728","721","730","728","728","725","724","726","726","725"
"Marshall County","992","990","992","992","992","991","991","990","993","994","993","994","992"
"Walnut Grove","729","744","742","746","735","727","733","723","725","716","710","729","730"
"Wilkinson County","991","993","993","985","987","993","990","991","990","993","992","994","991"
"RESITITUTION CENTERS","16","17","17","17","16","16","13","13","14","13","15","16","15"
"Greenwood","5","6","6","6","6","6","5","6","6","5","6","6","6"
"Hinds","8","9","9","7","7","6","5","5","5","5","6","6","6"
"Pascagoula","3","3","2","4","3","4","3","2","3","3","3","4","3"
"GOVERNOR'S MANSION","6","6","6","6","6","6","4","5","5","5","5","5","5"
"E-CODE","22","13","22","17","18","4","35","30","22","19","25","22","21"
"TOTALS","20,461","20,434","20,459","20,483","20,507","20,585","20,571","20,741","20,983","21,094","21,182","21,286","20,732"
"","JUL","AUG","SEP","OCT","NOV","DEC","JAN","FEB","MAR","APR","MAY","JUN","AVG"
"CAPACITY TOTAL","21,737","21,737","21,737","21,737","21,737","21,737","21,737","21,737","21,737","22,687","22,363","22,241","21,910"
"Note:  Capacity @ MSP does not include 61 beds: 56 at Unit 42 
(Hospital) & 5 at Family Visitation Apts.","","","","","","","","","","","","",""
