"Other Property Offenses
(continued)","MALES","","","","Data
Unavailable","FEMALES","","","","Total","Percent"
"","Black","White","Hispanic","Other","","Black","White","Hispanic","Other","",""
"Counterfeiting","3","1","0","0","0","0","0","0","0","4","0.09%"
"Credit Card Fraud","13","13","0","0","0","10","10","0","0","46","1.00%"
"Crimes Against a Person","6","3","0","0","0","0","0","0","0","9","0.20%"
"Criminal Attempt to Commit","1","2","0","0","0","1","0","0","0","4","0.09%"
"Cruelty to Wife","1","0","0","0","0","0","0","0","0","1","0.02%"
"Damage Property","0","1","0","0","0","0","0","0","0","1","0.02%"
"Damage Property-Business","1","1","0","0","0","0","0","0","0","2","0.04%"
"Damage Property-Public","2","0","0","0","0","0","0","0","0","2","0.04%"
"Discharge Firearm","22","13","1","2","0","1","0","0","0","39","0.85%"
"Domestic Violence Order","1","1","0","0","0","0","0","0","0","2","0.04%"
"DUI Death","1","0","1","0","0","0","0","0","0","2","0.04%"
"DUI Manslaughter","7","9","0","0","0","0","2","0","1","19","0.41%"
"Embezzle","1","1","0","0","0","1","1","0","0","4","0.09%"
"Embezzlement","57","57","0","0","0","23","47","0","0","184","3.99%"
"Escape - Jail","11","6","0","0","0","1","0","0","0","18","0.39%"
"Extortion","0","1","0","0","0","1","0","0","0","2","0.04%"
"False Pretense","37","38","1","0","0","30","31","0","0","137","2.97%"
"False Report of a Crime","3","1","0","0","0","0","0","0","0","4","0.09%"
"Family Offense","1","0","0","0","0","0","0","0","0","1","0.02%"
"Felony Domestic Violence","21","7","0","0","0","0","0","0","0","28","0.61%"
"Felony DUI","525","547","7","13","0","17","66","1","3","1,179","25.57%"
"Firearms Discharge","2","0","0","0","0","1","0","0","0","3","0.07%"
"Flight/Escape","0","1","0","0","0","0","0","0","0","1","0.02%"
"Forgery","13","12","0","0","0","1","1","0","1","28","0.61%"
"Fraud","4","17","0","2","0","4","6","0","0","33","0.72%"
"Fraud - Abuse Computer","1","0","0","0","0","0","0","0","0","1","0.02%"
"Fraud - Impersonation","3","3","0","0","0","4","4","0","0","14","0.30%"
"Fraud - Swindle","5","1","0","0","0","1","1","0","0","8","0.17%"
"Fraudulent Use of Drivers","0","0","0","0","0","1","1","0","0","2","0.04%"
"Gambling","4","1","0","0","0","1","0","0","0","6","0.13%"
"Grand Larceny","273","268","0","1","0","18","32","0","0","592","12.84%"
"Harassing Communication","0","3","0","0","0","0","0","0","0","3","0.07%"
"Harboring Escapee","0","0","0","0","0","1","0","0","0","1","0.02%"
"Hit and Run","0","0","0","0","0","0","1","0","0","1","0.02%"
"Invade Privacy","0","3","0","0","0","0","0","0","0","3","0.07%"
"Invasion of Privacy","0","1","0","0","0","0","0","0","0","1","0.02%"
"Larceny - Auto","5","0","0","0","0","0","0","0","0","5","0.11%"
"Larceny - Building","1","0","0","0","0","0","0","0","0","1","0.02%"
"Leaving the Scene of Accident","6","5","0","0","0","0","1","0","0","12","0.26%"
"Neglect Family","0","2","0","0","0","2","1","0","0","5","0.11%"
"Nonsupport - Parent","0","1","0","0","0","1","0","0","0","2","0.04%"
"Obscene Communication","0","1","0","0","0","0","0","0","0","1","0.02%"
"Obstructing Justice","3","1","0","0","0","0","0","0","0","4","0.09%"
"Obtain Contsub/Fraud","1","10","0","0","0","2","14","0","0","27","0.59%"
"Operating Chop Shop","2","4","0","0","0","0","0","0","0","6","0.13%"
"Perjury","2","2","0","0","0","0","0","0","0","4","0.09%"
"Possess Counterfeited","1","0","0","0","0","0","0","0","0","1","0.02%"
"Possession Stolen Property","30","18","0","0","0","2","2","0","0","52","1.13%"
"Possession Stolen Vehicle","4","3","0","0","0","0","0","0","0","7","0.15%"
"Possession of Firearm","21","8","0","1","0","1","1","0","0","32","0.69%"
"Possession Weapon/Felon","56","28","0","0","0","1","0","0","0","85","1.84%"
"Prescription Forgery","6","25","0","0","0","4","18","0","0","53","1.15%"
