"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"ROBBERY","","","","","","","","","","",""
"Armed Carjacking","33","0","0","0","0","1","0","0","0","34","1.30%"
"Armed Robbery","1,319","185","7","4","0","36","14","0","0","1,565","60.01%"
"Carjacking Strong Arm","26","1","0","0","0","2","0","0","0","29","1.11%"
"Robbery","763","167","1","1","0","34","13","0","1","980","37.58%"
"Total","2,141","353","8","5","0","73","27","0","1","2,608","100.00%"
"","","","","","","","","","","",""
"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"VIOLENT","","","","","","","","","","",""
"Abuse Vulnerable Adult","1","3","0","0","0","1","0","0","0","5","0.35%"
"Aggravated Assault Police Strong Arm","17","8","2","0","0","1","1","0","0","29","2.05%"
"Aggravated Assault Police Weapon","10","11","0","0","0","0","0","0","0","21","1.48%"
"Aggravated Assault Pub. Official Strong Arm","2","0","0","0","0","0","0","0","0","2","0.14%"
"Aggravated Assault Pub. Official w/weapon","1","1","0","0","0","0","0","0","0","2","0.14%"
"Aggravated Assault","885","201","5","1","0","73","12","0","0","1,177","83.06%"
"Aggravated Assault-Domestic","1","0","0","0","0","0","0","0","0","1","0.07%"
"Drive-By Shooting","41","7","0","0","0","0","1","0","0","49","3.46%"
"Intimidation","3","0","0","0","0","0","0","0","0","3","0.21%"
"Kidnapping","52","20","0","0","0","3","3","0","0","78","5.50%"
"Mayhem","2","6","0","0","0","1","0","0","0","9","0.64%"
"Simple Assault","24","13","1","0","0","3","0","0","0","41","2.89%"
"Total","1,039","270","8","1","0","82","17","0","0","1,417","100.00%"
"","","","","","","","","","","",""
"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"OTHER PROPERTY","","","","","","","","","","",""
"Accessory After the Fact","54","14","0","0","0","10","9","0","0","87","1.89%"
"Affixed License Plate w/Intent to Conceal","0","1","0","0","0","0","0","0","0","1","0.02%"
"Aggravated DUI","6","18","0","0","0","0","0","0","0","24","0.52%"
"Aiding Escape","3","0","0","0","0","0","1","0","0","4","0.09%"
"Arson","21","31","2","0","0","5","1","0","0","60","1.30%"
"Arson 1st Degree","1","0","0","0","0","2","0","0","0","3","0.07%"
"Arson 2nd Degree","1","2","0","0","0","0","0","0","0","3","0.07%"
"Arson Residence","2","2","0","0","0","0","2","0","0","6","0.13%"
"Assault","2","0","0","0","0","0","0","0","0","2","0.04%"
"Attempt to Elude","0","1","0","0","0","0","0","0","0","1","0.02%"
"Bigamy","0","1","0","0","0","0","0","0","0","1","0.02%"
"Bribery","0","1","0","0","0","0","0","0","0","1","0.02%"
"Burglary","14","11","0","0","0","0","0","0","0","25","0.54%"
"Carjacking","2","0","0","0","0","0","0","0","0","2","0.04%"
"Carrying Concealed Weapon","1","1","0","0","0","0","0","0","0","2","0.04%"
"Carrying a Weapon in a Public","1","0","0","0","0","0","0","0","0","1","0.02%"
"Child Abuse","25","16","0","1","0","10","6","0","2","60","1.30%"
"Child Support","8","3","0","0","0","0","0","0","0","11","0.24%"
"Compounding Crime","43","17","0","0","0","3","5","0","0","68","1.47%"
"Concealed Stolen Property","1","0","0","0","0","0","0","0","0","1","0.02%"
"Conspiracy","15","6","0","1","0","7","6","0","0","35","0.76%"
"Conspiracy to Commit a Crime","1","3","0","0","0","0","1","0","0","5","0.11%"
