"Class","MALES","","","","Data
Unavailable","FEMALES","","","","Total","Percent"
"","Black","White","Hispanic","Other","","Black","White","Hispanic","Other","",""
"A","5","4","0","0","0","0","4","0","0","13","0.05%"
"B","28","9","0","0","0","0","0","0","0","37","0.15%"
"C","911","239","3","1","1","23","10","0","0","1,188","4.95%"
"D","626","106","2","0","0","5","1","0","0","740","3.08%"
"DR","38","31","0","1","0","0","1","0","0","69","0.29%"
"MOA","1,878","822","12","4","1","179","144","0","1","3,041","12.67%"
"MOB","3,644","1,653","43","12","0","256","192","2","3","5,805","24.19%"
"MORA","3,041","1,545","25","13","0","378","348","1","1","5,352","22.30%"
"MORB","3,289","981","22","10","0","191","78","0","1","4,572","19.05%"
"UNCLASSIFIED","1,609","1,045","18","15","3","210","254","6","4","3,164","13.19%"
"Unknown Race/Sex","","","","","15","","","","","15","0.06%"
"Total
15,069","","6,435","125","56","20","1,242","1,032","9","10","23,996","100.00%"
