"","Fact Sheet","",""
"","","As of August 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","9",".04%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","57",".27%"
"TVC","0","81",".39%"
"Transitional Housing","0","27",".13%"
"Court Order","0","245","1.17%"
"RRP","0","64",".30%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,063","90.70%"
"Intensive Supervision Program","0","822","3.91%"
"Conditional Release","0","2","0.01%"
"Earned Release Supervision Program","0","588","2.80%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,433","6.82%"
"Other Custody","","479","2.28%"
"Off-Grounds Medical (Hospital)","","19","0.09%"
"At Large (Escapees & Walk-Aways)","0","24","0.11%"
"TOTAL","23,881","21,018","00
00
100.00%"
