"TOTAL
22,455","","100.00%","","","2,158","","","100.00%","","24,613","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,222","","0","983","1","23","0","2","0","5","0","0","0","3,236"
"CMCF","1,238","","507","774","594","18","5","2","3","2","0","1","0","3,144"
"SMCI","2,101","","0","1,029","0","44","0","8","0","3","0","0","0","3,185"
"County Jails (approved)","627","","54","365","80","3","0","2","0","0","0","0","0","1,131"
"County Jails (unapproved)","140","","9","80","19","0","1","0","0","0","0","2","1","252"
"Private Prisons","3,926","","0","1,275","0","29","0","8","0","3","0","1","0","5,242"
"Regional Correctional Facilities","1,967","","30","942","31","30","0","2","0","7","0","1","0","3,010"
"Community Work Centers","809","","54","411","126","5","1","0","0","4","0","0","0","1,410"
"Community Trusties","7","","0","7","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","65","","9","35","13","2","0","0","0","0","0","0","0","124"
"Court Order","167","","11","107","18","0","0","1","0","1","1","0","0","306"
"","13,269","","674","6,008","882","154","7","25","3","25","1","5","1","21,054"
"Intensive Supervison Program","633","","155","569","252","10","0","5","1","6","1","1","0","1,633"
"Earned Release Supervision","931","","79","380","58","5","0","0","0","2","0","0","0","1,455"
"Medical Release","22","","5","9","3","0","0","0","0","0","0","0","0","39"
"Other Custody","175","","8","128","19","38","4","1","1","1","0","5","0","380"
"At Large","23","","0","11","2","3","0","0","0","0","0","0","0","39"
"Off-Grounds Medical (Hospital)","8","","2","3","0","0","0","0","0","0","0","0","0","13"
"TOTAL","15,061","","923","7,108","1,216","210","11","31","5","34","2","11","1","24,613"
"% OF TOTAL OFFENDERS","61.19%","","3.75%","28.88%","4.94%",".85%",".04%",".13%",".02%",".14%",".01%",".04%",".00%","100.00%"
