"","","","As of December 1, 2018","",""
"BY OFFENSE AND LOCATION","","","","",""
"","DRUG","NON-VIOLENT","SEX","VIOLENT",""
"LOCATION","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","424","339","570","1,922","3,255"
"CMCF","1014","979","317","1,438","3,748"
"SMCI","552","479","554","1,453","3,038"
"Youthful Offender Facility","0","7","2","27","36"
"County Jails (approved)","362","159","6","147","674"
"County Jails (unapproved)","122","149","16","77","364"
"Private Prisons","259","268","551","2,115","3,193"
"Regional Correctional Facilities","600","442","796","1,866","3,704"
"Community Work Centers","367","149","0","127","643"
"Community Trusties","9","0","0","1","10"
"Pending File Review","43","41","7","40","131"
"Court Order","85","56","6","67","214"
"Transitional Housing","12","16","1","16","45"
"RRP","29","39","0","9","77"
"TVC","34","9","0","12","55"
"TOTAL CUSTODY POPULATION","3,912","3,132","2,826","9,317","19,187"
"% OF TOTAL OFFENSES","20.39%","16.32%","14.73%","48.56%","100.00%"
"Intensive Supervison Program","308","358","10","85","761"
"Earned Release Supervision","57","35","9","487","588"
"Medical Release","10","1","0","2","13"
"Other Custody","159","184","25","118","486"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","1","2",""
"FTR- Monitoring","2","3","1","0",""
"Off-Grounds Medical (Hospital)","1","1","4","7","13"
"TOTAL","4,456","3,725","2,876","10,025","21,082"
"% OF TOTAL OFFENSES","21.14%","17.67%","13.64%","47.55%","3 6
100.00%"
