"","Fact Sheet","",""
"","","As of May 1, 2019",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","6",".03%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","79",".37%"
"TVC","0","82",".38%"
"Transitional Housing","0","27",".13%"
"Court Order","0","270","1.27%"
"RRP","0","71",".33%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,356","90.81%"
"Intensive Supervision Program","0","818","3.84%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","580","2.72%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","15","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,422","6.67%"
"Other Custody","","502","2.36%"
"Off-Grounds Medical (Hospital)","","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,314","00
00
100.00%"
