"","","Fact Sheet",""
"","","As of December 1, 2018",""
"INMATE STATISTICS (continued)","","",""
"Community Trusties","0","10",".05%"
"Emergency Suspension","","0",".00%"
"Pending File Review","","131",".62%"
"TVC","0","55",".26%"
"Transitional Housing","0","45","0.2%"
"Court Order","0","214","1.02%"
"RRP","0","77",".37%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","19,187","91.01%"
"Intensive Supervision Program","0","761","3.61%"
"Conditional Release","0","3","0.01%"
"Earned Release Supervision Program","0","588","2.79%"
"Failure to Register-Monitoring","0","6","0.03%"
"Medical Release","0","13","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","1,371","6.50%"
"Other Custody","","486","2.31%"
"Off-Grounds Medical (Hospital)","","13","0.06%"
"At Large (Escapees & Walk-Aways)","0","25","0.12%"
"TOTAL","23,881","21,082","00
00
100.00%"
