"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","666","","573","","","185","","","1,437","","","532","","","","3,393",""
"CMCF","","","724","","832","","","147","","","927","","","296","","","","2,926",""
"SMCI","","","518","","615","","","178","","","1,132","","","553","","","","2,996",""
"County Jails (approved)","","","451","","251","","","14","","","82","","","10","","","","808",""
"Youthful Offender Facility","","","0","","1","","","6","","","20","","","5","","","","32",""
"County Jails (unapproved)","","","132","","179","","","14","","","59","","","19","","","","403",""
"Private Prisons","","","483","","536","","","267","","","1,926","","","695","","","","3,907",""
"Regional Correctional Facilities","","","575","","610","","","279","","","1,259","","","683","","","","3,406",""
"Community Work Centers","","","626","","271","","","","","","62","","","0","","","","959",""
"Community Trusties","","","31","","12","","","","","","4","","","0","","","","47",""
"Pending File Review","","","32","","36","","","5","","","7","","","2","","","","82",""
"County Jail","","","","","1","","","0","","","0","","","0","","","","1",""
"Conditional Release","","","0 0 8","","0","","","0","","","2","","","0","","","","2",""
"Court Order","","","5","","99","","","13","","","58","","","10","","","","265",""
"TOTAL CUSTODY POPULATION","","","4,323","","4,016","","","1,108","","","6,975","","","2,805","","","","19,227",""
"% OF TOTAL OFFENSES","","","22.48%","","20.89%","","","5.76%","","","36.28%","","","14.59%","","","","100.00%",""
"Intensive Supervison Program","","","331","","334","","","9","","","46","","","6","","","","726",""
"Earned Release Supervision","","","239","","54","","","131","","","327","","","4","","","","755",""
"Medical Release","","","7","","4","","","0","","","4","","","0 2","","","","15",""
"Other Custody","","","175","","223","","","17","","","89","","","6","","","","530",""
"At Large","","","","","14","","","0","","","6","","","0","","","","26",""
"Transitional Housing","","","","","3","","","0","","","0","","","0","","","","3",""
"TVC","","","","","0","","","0","","","1","","","0","","","","1",""
"Off-Grounds Medical (Hospital)","","","","","2","","","1","","","3","","","2","","","","9",""
"TOTAL","","","5,082","","4,650","","","1,266","","","7,451","","","2,843","","","","21,292",""
"% OF TOTAL OFFENSES","","","23.87%","","21.84%","","","5.95%","","","35.00%","","","13.35%","","","","100.00%","6 0 0 1
0 0"

"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","722","","699","","","177","","","1,187","","","505","","","","3,290",""
"CMCF","","","693","","854","","","123","","","709","","","312","","","","2,691",""
"SMCI","","","615","","763","","","174","","","1,090","","","551","","","","3,193",""
"County Jails (approved)","","","635","","516","","","33","","","104","","","55","","","","1,343",""
"Youthful Offender Facility","","","3 5","","6","","","3","","","20","","","5","","","","37",""
"County Jails (unapproved)","","","5","","73","","","7","","","18","","","11","","","","164",""
"Private Prisons","","","501","","836","","","281","","","2,039","","","642","","","","4,299",""
"Regional Correctional Facilities","","","951","","1,004","","","332","","","1,288","","","817","","","","4,392",""
"Community Work Centers","","","676","","440","","","0","","","3","","","0","","","","1,119",""
"Community Trusties","","","10","","","","","0","","","0","","","0","","","","12",""
"Pending File Review","","","48","","2 6
0","","","2","","","4","","","1","","","","115",""
"Transitional Housing","","","2","","1","","","0","","","0","","","0","","","","3",""
"Court Order","","","105","","129","","","4","","","34","","","13","","","","285",""
"TOTAL CUSTODY POPULATION","","","5,016","","5,383","","","1,136","","","6,496","","","2,912","","","","20,943",""
"% OF TOTAL OFFENSES","","","23.95%","","25.70%","","","5.42%","","","31.02%","","","13.90%","","","","100.00%",""
"Intensive Supervison Program","","","681","","810","","","15","","","37","","","4","","","","1,547",""
"Earned Release Supervision","","","416","","459","","","190","","","362","","","4","","","","1,431",""
"Medical Release","","","11","","10","","","1","","","3","","","","","","","25",""
"Other Custody","","","188","","184","","","12","","","80","","","4","","","","488",""
"At Large","","","","","7","","","","","","7","","","0","","","","31",""
"Off-Grounds Medical (Hospital)","","","7 2","","31","","","0 1","","","4","","","0","","","","10",""
"TOTAL","","","6,321","","6,866","","","1,355","","","6,989","","","2,944","","","","24,475",""
"% OF TOTAL OFFENSES","","","25.83%","","28.05%","","","5.54%","","","28.56%","","","12.03%","","","","100.00%","0 2"
