"OFFENSE","Black","White","Hispanic","Other","Total","Percent"
"AGGRAVATED ASSAULT","921","269","7","2","1199","6.29%"
"BURGLARY","1147","703","10","10","1870","9.81%"
"DRUG INTENT","457","336","14","7","814","4.27%"
"HOMICIDE/MANSLAUGHTER","2010","629","22","7","2668","14.00%"
"OTHER PROPERTY","1200","934","17","11","2162","11.35%"
"POSSESSION OF DRUGS","950","509","12","9","1480","7.77%"
"ROBBERY","2655","423","6","7","3091","16.22%"
"SALE OF DRUGS","1656","427","8","4","2095","10.99%"
"SEX OFFENSE","1355","1338","47","13","2753","14.45%"
"VIOLENT","547","346","18","6","917","4.81%"
"OTHER","3","4","0","0","7","0.04%"
"Total","12901","5918","161","76","19056","100%"
