"AGE","MALE","FEMALE","TOTAL","PERCENT"
"15","4","-","4","0.02%"
"16","2","-","2","0.01%"
"17","14","-","14","0.07%"
"18-19","220","12","232","1.11%"
"20-29","5549","460","6009","28.88%"
"30-39","6307","629","6936","33.33%"
"40-49","3728","385","4113","19.76%"
"50-59","2327","208","2535","12.18%"
"60-69","749","55","804","3.86%"
"70-80","126","4","130","0.62%"
">80","26","-","26","0.12%"
"Unknown","4","1","5","0.02%"
"Total","19056","1754","20810","100.00%"
