"Facility","Jul ('14)","Aug","Sep","Oct"
"Mississippi State Penitentiary","3,344","3,314","3,298","3,261"
"Central Mississippi Correctional Facility","2,555","2,465","2,367","2,341"
"Youthful Offender Unit","43","40","38","34"
"South Mississippi Correctional Institution","3,185","3,193","3,096","2,885"
"County Jails","1,719","1,728","1,731","1,589"
"Community Work Centers","1,172","1,184","1,124","1,068"
"County/Regional Facilities","4,415","4,402","4,324","4,291"
"Private Prisons","4,283","4,164","4,099","4,194"
"Restitution Centers","10","6","6","5"
"Total","20,726","20,496","20,083","19,668"
"Actual Capacity","25,900","26,000","25,818","25,710"
