"Male","Black","White","Hispanic","Other","Total","Percent"
"Less than 1 year","249","237","5","6","497","2.61%"
"1-2  years","667","470","11","8","1156","6.07%"
"3-5  years","1899","1099","24","17","3039","15.95%"
"6-10  years","3083","1527","43","12","4665","24.48%"
"11-20 years","3456","1379","42","21","4898","25.70%"
"21-30  years","1258","427","17","4","1706","8.95%"
"Greater than 30 Years","773","212","7","5","997","5.23%"
"Life","1488","547","12","4","2051","10.76%"
"Death","26","20","0","1","47","0.25%"
"Total","12899","5918","161","78","19056","100.01%"
