"Classification","Female Classification","Percent"
"Minimum-Community","333","18.99%"
"Minimum-Non -Community","380","21.66%"
"Medium","563","32.10%"
"Close","161","9.18%"
"DR","1","0.06%"
"Unclassified","316","18.02%"
"Total","1754","100.00%"
