"OFFENSE","Black","White","Hispanic","Other","Total","Percent"
"AGGRAVATED ASSAULT","54","21","1","0","76","4.33%"
"BURGLARY","35","80","0","0","115","6.56%"
"DRUG INTENT","22","67","0","1","90","5.13%"
"HOMICIDE/MANSLAUGHTER","126","85","1","1","213","12.14%"
"OTHER PROPERTY","172","292","3","","467","26.62%"
"POSSESSION OF DRUGS","89","158","3","3","253","14.42%"
"ROBBERY","81","47","0","0","128","7.30%"
"SALE OF DRUGS","100","121","1","1","223","12.71%"
"SEX OFFENSE","12","48","1","0","61","3.48%"
"VIOLENT","53","70","1","1","125","7.13%"
"OTHER","1","2","0","0","3","0.17%"
"Total","745","991","11","7","1754","100.00%"
