"Sentence Length","Male and Female","Percent"
"Less than 1 year","590","2.84%"
"1-2  years","1485","7.14%"
"3-5  years","3446","16.56%"
"6-10  years","5091","24.46%"
"11-20 years","5201","24.99%"
"21-30  years","1771","8.51%"
"Greater than 30 Years","1024","4.92%"
"Life","2154","10.35%"
"Death","48","0.23%"
"Total","20810","100.00%"
