"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","1329","667","3","7","3","2009"
"Minimum-Non -Community","1838","1097","16","8","","2959"
"Medium","6761","3068","100","40","3","9972"
"Close","2332","586","16","4","1","2939"
"DR","26","20","-","1","-","47"
"Unclassified","614","480","26","5","5","1130"
"Total","12900","5918","161","65","12","19056"
