"RACE","MALE","FEMALE","TOTAL","PERCENT"
"White","5918","991","6909","33.20%"
"Black","12900","745","13645","65.57%"
"Hispanic","161","11","172","0.83%"
"Other","77","7","84","0.40%"
"Total","19056","1754","20810","100.00%"
