"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","114","214","3","2","-","333"
"Minimum-Non -Community","155","222","2","1","-","380"
"Medium","256","301","4","2","-","563"
"Close","101","60","-","-","-","161"
"DR","-","1","-","-","-","1"
"Unclassified","119","193","2","2","-","316"
"Total","745","991","11","7","0","1754"
