"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","18","47","72","50","50","35"
"Reporting Instruction","120","114","131","119","136","94"
"Investigation","114","107","97","103","101","97"
"Acceptance","89","69","95","79","39","64"
"Rejection","7","6","5","6","11","51"
"Cancellation","0","0","0","0","0","0"
"Pending","114","107","97","103","101","97"
"Progress Report","28","0","0","10","11","2"
"Violation","49","60","38","63","62","58"
"Probation Warrant","15","12","6","6","2","11"
"Parole Warrant","2","0","0","0","10","0"
"Closure","51","95","66","61","83","58"
"Discharge","16","31","18","19","39","14"
"New File","0","0","0","0","0","0"
"Updates","225","285","231","237","228","263"
"Revocation","0","0","0","0","0","0"
"File Deletion","1","1","1","3","2","0"
"Inquiries","151","224","206","253","247","222"
"TOTAL","1,000","1,158","1,063","1,112","1,124","1,066"
