"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","33","51","48","88","66","42"
"Investigation","129","136","109","123","98","123"
"Acceptance","83","99","82","97","126","77"
"Rejection","16","32","27","26","24","19"
"Cancellation","0","0","1","0","0","0"
"Pending","129","136","109","123","98","123"
"Progress Report","0","0","0","25","7","2"
"Violation","31","51","46","74","54","43"
"Probation Warrant","6","8","6","5","3","4"
"Parole Warrant","2","0","4","2","4","4"
"Closure","87","100","101","99","80","75"
"Discharge","0","2","6","3","17","3"
"New File","0","6","0","0","0","0"
"Updates","180","303","280","244","214","199"
"Revocation","0","0","0","0","0","0"
"File Deletion","1","1","3","1","2","2"
"Inquiries","434","830","816","850","574","351"
"TOTAL","1,131","1,755","1,638","1,760","1,367","1,067"
