"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,229 
  
1,122 
  
9,351","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","2,933","639","","3,572","38.20"
"Black","5,196","462","","5,658","60.51"
"Hispanic","71","13","","84",".90"
"Other","28","8","","36",".38"
"Unknown Race","1","0","","1",".01"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"15","1","0","","1",".01"
"16","5","0","","5",".05"
"17","9","0","","9",".10"
"18 - 19","239","10","","249","2.66"
"20 - 29","3,200","357","","3,557","38.04"
"30 - 39","2,493","383","","2,876","30.76"
"40 - 49","1,538","269","","1,807","19.32"
"50 - 59","633","93","","726","7.76"
"60 - 69","99","9","","108","1.15"
"70 - 79","11","1","","12",".13"
"80+","1","0","","1",".01"
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,464","76","","1,540","16.47"
"Homicide/Manslaughter","155","17","","172","1.84"
"Property","1,942","427","","2,369","25.33"
"Possession of Drugs","2,032","309","","2,341","25.03"
"Robbery","491","24","","515","5.51"
"Sale of Drugs","1,233","184","","1,417","15.15"
"Sex Offense","306","8","","314","3.36"
"Violent","606","77","","683","7.30"
