"REGIONS 
REGION I 
REGION II  REGION III 
TOTAL","","","",""
"Probation","2,772","3,045","3,286","9,103"
"Parole","2,263","1,292","2,531","6,086"
"Compact Probation","434","298","673","1,405"
"Compact Parole","217","120","290","627"
"Drug Court","891","388","0","1,279"
"Suspension","20","2","2","24"
"Earned Release Supervision","587","393","562","1,542"
"Medical Release","11","2","5","18"
"Non-Adjudicated Cases","808","989","1,414","3,211"
"Diversion Program","0","-","-","-"
"Post Release Supervision","3,047","2,026","2,704","7,777"
"ISP-Court Sentenced","451","232","493","1,176"
"ISP-Prison Releases","204","123","136","463"
"TOTAL CASELOAD","11,705","8,910","12,096","32,711"
"Restitution Center","63","114","72","249"
"Community Work Center","519","575","435","1,529"
"RID Program","N/A","19","N/A","19"
