"VIOLATION","JUL","AUG","SEP","OCT","NOV","DEC","JAN"
"Abscond","0","0","2","1","0","2","1"
"Absconded Supervision","1","0","0","0","0","0","0"
"Appeal","0","0","0","0","0","0","0"
"Closed","0","0","2","0","0","0","0"
"Death","1","0","0","2","1","0","1"
"Death/Accident","0","1","1","0","0","1","1"
"Death/Execution","1","0","0","0","0","0","0"
"Death/Natural Causes","2","6","6","3","4","2","1"
"Death/Suicide","1","0","0","0","1","0","0"
"Discharge to Probation","10","7","5","11","4","7","4"
"Discharged","11","4","15","7","10","10","23"
"Discharged-Held In","2","1","0","0","1","1","0"
"ERS","124","124","138","126","124","145","129"
"Expiration","138","121","107","125","127","97","136"
"Governor's Suspension","0","0","0","0","0","0","2"
"House Arrest/ISP","77","8","74","62","60","65","51"
"Medical Release","0","2","0","1","2","0","0"
"Parole","168","180","191","133","169","169","158"
"Parole Continued","11","14","19","11","14","6","18"
"Pending","0","1","0","0","2","0","0"
"Pending Arrival","1","0","1","0","1","2","3"
"Probation","191","206","237","222","174","241","234"
"Rejected","0","0","0","0","0","0","1"
"Remanded","0","0","0","1","0","0","0"
"Rendered","1","0","0","0","0","1","0"
"Shock Probation","4","6","10","12","5","5","7"
"Unsupervised Probation","6","3","5","1","5","4","2"
"Release Type Unknown","48","57","70","45","56","65","60"
"TOTAL","798","741","883","763","760","823","832"
