"","JUL","AUG","SEP","OCT","NOV","DEC"
"Travel Permit","45","67","54","38","36","28"
"Reporting Instruction","97","38","114","83","79","125"
"Investigation","80","125","94","78","87","67"
"Acceptance","65","81","52","49","43","87"
"Rejection","12","27","8","0","0","0"
"Cancellation","0","0","0","0","0","0"
"Pending","65","125","94","78","87","67"
"Progress Report","0","0","0","3","8","0"
"Violation","33","59","21","86","96","47"
"Probation Warrant","6","10","7","23","21","6"
"Parole Warrant","0","0","1","0","0","1"
"Closure","62","70","65","81","77","47"
"Discharge","17","24","14","27","27","17"
"New File","0","0","0","0","0","0"
"Updates","155","292","166","255","303","175"
"Revocation","0","0","0","0","0","0"
"File Deletion","0","0","3","1","1","0"
"Inquiries","179","292","177","366","424","169"
"TOTAL","816","1,210","870","1,168","1,289","836"
