"BOLIVAR COUNTY CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Aftercare Pre-Release Education","30","12 Months"
"Alcohol & Drug Treatment  -  Male","100","6 Months"
"Alcohol & Drug Treatment  -  Female","25","6 Months"
"Advanced Computer Skills**","10","6 Weeks"
"Anger Management**","20","8 Weeks"
"Principles of Salvation**","20","6 Months"
"Basic Construction Skills*","20","6 Weeks"
"Basic Keyboarding**","10","6 Weeks"
"General Educational Development**","35","Ongoing"
"Moral Management*","10","6 Months"
"Literacy Skills*","20","Ongoing"
