"LEAKE COUNTY REGIONAL CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Ed / General Education Dev.","100","12 Months"
"Alcohol & Drug Treatment Program","30","12 Weeks"
"Basic Computer","15","12 Weeks"
"Discipleship I  -  II","30","6 Weeks"
"Discipleship III  -  VI","30","13 Weeks"
"Discipleship VII","30","4 Weeks"
"Basic Carpentry","11","40 Hours"
"Advanced Carpentry","10","6 Weeks"
"Tutoring Class","8","Ongoing"
"Pre-Release Program","15","12 Weeks"
