"","JAN","FEB","MAR","APR","MAY","JUN"
"Travel Permit","0","0","0","0","0","0"
"Reporting Instruction","42","63","90","65","47","51"
"Investigation","121","112","152","114","131","101"
"Acceptance","95","91","80","107","107","127"
"Rejection","19","13","33","47","33","40"
"Cancellation","0","0","0","0","0","0"
"Pending","121","112","152","114","131","101"
"Progress Report","0","12","0","0","13","7"
"Violation","44","49","30","60","52","45"
"Probation Warrant","7","1","0","13","7","5"
"Parole Warrant","3","5","1","7","8","0"
"Closure","52","104","113","96","100","93"
"Discharge","0","24","8","29","22","2"
"New File","0","0","0","0","0","0"
"Updates","197","155","272","655","243","328"
"Revocation","0","0","0","0","0","0"
"File Deletion","3","3","4","3","2","1"
"Inquiries","666","845","473","795","287","425"
"TOTAL","1,370","1,589","1,408","2,105","1,183","1,326"
