county,position,name,address,alt address,phone,alt phone,fax,alt fax,email
Alcorn County,Coroner,Jay H. Jones,"4 Eagle Dr, Corinth 38834",,(662) 284-6470,,,,
Attala County,Coroner,Sam Bell,"3093 HWY. 19 S, Kosciusko 39090",,(662) 674-5883,,,,
Benton County,Coroner,Larry Hobson,"46 Chardean Ave, Ashland 38603",,(662) 471-1139,,(662) 224-6307,,
Bolivar County,Coroner,Randolph Seals,"PO Box 127, Cleveland 38732",,(662) 843-1709,,(662) 843-1710,,
Calhoun County,Coroner,Jerry Wayne Fleming,"922 N Main St, Calhoun City 38916",,(662) 628-4810,,,,
Choctaw County,Coroner,Keith Coleman,"303 N Commerce St, Ackerman 39735 ",,(662) 285-8804,,(662) 285-2658,,
Claiborne County,Coroner,James Mallett,"PO Box 219, Port Gibson 39150",,(601) 437-4116,,,,
Clarke County,Coroner,Greg Fairchild,"102 Mae Avenue, Quitman 39355.",,(601) 776-8974,,,,
Clay County,Coroner,Alvin Carter Jr.,"970 Fawn Dr, West Point 39773 ",,(662) 494-0565,,,,
Copiah County,Coroner,Ellis Stuart,"1087 Russell Rd, Wesson 39191",,(601) 891-0101,,(601) 894-1908,,
DeSoto County,Coroner,Jeffrey Pounders,"4942 Pounders Rd, Nesbit 38651",,(662) 429-4057,,(662) 429-1311,,
Forrest County,Coroner,Butch Benedict Jr.,"237 J. B. Horne Rd, Hattiesburg 39401",,(601) 266-4057,,(601) 266-4480,,
Franklin County,Coroner,Percy J. Peeler,"PO Box 170, Meadville 39653",,(601) 384-2963,,,,
George County,Coroner,Dee Ann Miller,"238 Mill St, Lucedale 39452",,(601) 410-2875,,,,
Greene County,Coroner,Ladd Pulliam,"909 Lakeview Dr, Leakesville 39451",,(601) 525-6054,,,,
Hancock County,Coroner,Jim Faulk,"PO Box 188, Bay St. Louis 39520",,(228) 369-7560,,,,
Harrison County,Coroner,Gary Hargrove,"PO Box 4036, Gulfport 39502",,(228) 865-4290,,,,
Hinds County,Coroner,Sharon Grisham-Stewart,"PO Box 1452, Jackson 39215-1452",,(601) 973-5505,,(601) 973-5513,,
Holmes County,Coroner,Dexter Howard,"PO Box 641, Lexington 39095",,(662) 472-2051,,,,
Issaquena County,Coroner,Angela Williams,"PO Box 152, Mayersville 39113",,(662) 873-6254,,(662) 873-2061,,
Jasper County,Coroner,Randy Graham,"378 CR 212, Laurel 39443",,(601) 670-1109,,,,
Jefferson County,Coroner,"Kendrick (""Rick"") McDonald","PO Box 623, Fayette 39069",,(601) 786-8558,,(601) 786-9676,,
Jefferson Davis County,Coroner,Jimmy Slater,"PO Box 479, Prentiss 39474",,(601) 792-4229,,(601) 792-4957,,
Jones County,Coroner,Nancy Barnett,"180 Shady Grove Moss Rd, Laurel 39443",,(601) 425-7200,,(601) 477-7201,,
Kemper County,Coroner,Terry Bostick,"Rt. 1 Box 103, Scooba 39358",,(601) 476-5547,,(601) 743-4173,,
Lafayette County,Coroner,"Otis (""Rocky"") Kennedy","300 N Lamar, Oxford 38655",,(662) 234-6421,,(662) 236-0203,,
Lamar County,Coroner,Cody Creel,"PO Box 196, Purvis 39475",,(601) 794-1571,,(601) 794-3455,,
Lauderdale County,Coroner,Clayton Cobler III,"11112 Suqualena Dr, Meridian 39305 ",,(601) 934-7911,,(601) 482-4033,,
Lee County,Coroner,Carolyn Gillentine-Green,"PO Box 712, Mooreville 38857",,(662) 687-1852,,(662) 680-9949,,
Leflore County,Coroner,Debra Sanders,"PO Box 934, Greenwood 38935",,(662) 453-9700,,(662) 453-5010,,
Lincoln County,Coroner,Clay McMorris,"PO Box 357, Brookhaven 39602",,(601) 835-3477,,,,
Lowndes County,Coroner,Greg Merchant,"PO Box 2342, Columbus 39704 ",,(662) 327-5197,,(662) 329-3469,,
Madison County,Coroner,Alex Breeland,"3304 Liberty St, Canton 39046  ",,(601) 859-3661,,(601) 859-1299,,
Marion County,Coroner,Norma Williamson,"758 Goss-Bunkerhill Rd, Columbia 39429",,(601) 731-2823,,(601) 731-2429,,
Marshall County,Coroner,James Richard Anderson,"PO Box 5155, Holly Springs 38635",,(662) 252-2341,,(662) 252-6050,,
Montgomery County,Coroner,Allan Pratt,"135 Liberty, Winona 38967.",,(662) 283-2121,,(662) 283-3339,,
Noxubee County,Coroner,R.L. Calhoun,"2832 Jefferson St, Macon 39341",,(662) 361-0740,,,,
Oktibbeha County,Coroner,Michael Hunt,"2389 Silver Ridge Rd, Starkville 39759",,(662) 323-4320,,(662) 323-1356,,
Panola County,Coroner,Gracie Grant-Gulledge,"PO Box 248, Batesville 38606",,(662) 609-2864,,(662) 563-6237,,
Pearl River County,Coroner, Derek Turnage,"PO Box 703, Picayune 39466",,(601) 749-7750,,(601) 749-7751,,
Pike County,Coroner,Percy Pittman Jr.,"PO Box 431, Magnolia 39652",,(601) 684-9422,,(601) 249-1751,,
Pontotoc County,Coroner,Kim Sullivan Bedford,"PO Box 209, Pontotoc 38863",,(662) 489-3111,,(662) 489-0326,,
Quitman County,Coroner,Joyce Houston,"PO Box 1399, Lambert 38643",,(662) 326-9232,,(662) 326-8851,,
Rankin County,Coroner,David Ruth,"PO Box 5646, Pearl 39208",,(601) 939-5997,,(601) 939-6798,,
Scott County,Coroner,Joe C. Bradford,"1120 E Third St, Forest 39074",,(601) 469-2525,,(601) 469-2525,,
Simpson County,Coroner,Terry Tutor,"PO Box 370, Magee 39111",,(601) 849-9995,,(601) 849-3880,,
Smith County,Coroner,Billy D. Allen,"2443 SCR 538, Morton 39117",,(601) 537-3392,,(601) 537-3590,,
Tallahatchie County,Coroner,Ginger Smith Meriwether,"951 Hwy. 35 S, Holcomb 38940 ",,(662) 647-0366,,(662) 647-0358,,
Tishomingo County,Coroner,Mack Wilemon,"1804 Independence Sq, Iuka 38852",,(662) 423-5222,,(662) 423-7093,,
Tunica County,Coroner,Glenn Grant,"PO Box 2725, Tunica 38676",,(662) 363-0134,,(662) 363-2693,,
Union County,Coroner,Pam Boman,"PO Box 847, New Albany 38652",,(662) 534-1902,,,,
Walthall County,Coroner,Shannon Hartzog,"35 Lowery Rd, Tylertown 39667",,(601) 876-9353,,(601) 876-0350,,
Warren County,Coroner,Doug Huskey,"PO Box 1140, Vicksburg 39181.",,(601) 634-8073,,(601) 636-8020,,
Webster County,Coroner,"James S (""Steve"") Wells","PO Box 45, Eupora 39744",,(662) 258-8659,,(662) 258-5001,,
Wilkinson County,Coroner,Nolan Thompson,"392 Elmsely Rd, Woodville 39669",,(601) 888-6730,,(601) 888-5105,,
Winston County,Coroner,Scott Gregory,"12902 Hwy. 397, Louisville 39339",,(662) 803-1296,,(662) 773-8831,,
Yazoo County,Coroner,Ricky L. Shivers,"75 Shivers Ln, Yazoo City 39194",,(662) 746-7631,,(662) 746-2023,,
