name,position,address,phone,fax,mobile,address2
 Willie Jones,Adams County Constable," PO Box 1048, Natchez 39121",(601) 442-0199,,,
Scott Slover,Adams County Board Attorney," 314 State St, Natchez 39120",(601) 442-0075,(601) 442-9896,,
 Brandi B. Lewis,Adams County Chancery Clerk,"115 South Wall St, Natchez 39120",(601) 446-6684,(601) 445-7913,,
Edward C. (Eddie) Walker,Adams County Circuit Clerk,"115 South Wall St, Natchez 39120",(601) 446-6326,(601) 445-7955,,
 Lillie Blackmon Sanders,Adams County Circuit Court Judge," 115 South Wall St, Natchez 39120",(601) 445-7933,(601) 445-2369,,
 Forrest A. Johnson,Adams County Circuit Court Judge," 115 South Wall St, Natchez 39120",(601) 442-8363,(601) 445-7954,,
 Joe Murray,Adams County County Administrator," 314 State St, Natchez 39120",(601) 445-7934,(601) 304-8088,,
Walt Brown,Adams County County Court Judge," PO Box 1371, Natchez 39121",(601) 445-7933,(601) 455-2369,,
Ronnie Harper,Adams County District Attorney,"307 Market St, Natchez 39120",(601) 445-4099,(601) 445-7947,,
John Barrett Martin,Adams County Prosecuting Attorney,"PO Box 1603, Natchez 39121",(601) 442-7954,(601) 442-5659,,
Travis Lamont Patten,Adams County Sheriff,"306 State St, Natchez 39120",(601) 442-2752,(601) 442-2911,,
Fred T. Butler,Adams County Superintendent of Education,"PO Box 1188, Natchez 39121",(601) 442-0212,(601) 445-2818,,
 Mike Lazarus,Adams County Supervisor (D-1)," 314 State St, Natchez 39120",(601) 442-2431,(601) 304-8088,,
 David Carter,Adams County Supervisor (D-2),"314 State St, Natchez 39120",(601) 442-2431,(601) 304-8088,,
 Angela Gibson Hutchins,Adams County Supervisor (D-3)," 314 State St, Natchez 39120",(601) 442-2431,(601) 304-8088,,
 Ricky Gray,Adams County Supervisor (D-4),"314 State St, Natchez 39120",(601) 442-2431,(601) 304-8088,,
 Calvin Butler,Adams County Supervisor (D-5),"314 State St, Natchez 39120",(601) 442-2431,(601) 304-8088,,
Bill Davis,Alcorn County Board Attorney," 511 N Franklin St, Corinth 38835",(662) 396-4808,(662) 396-4805,,
John Weddle,Alcorn County District Attorney,"PO Box 7237, Tupelo 38802",(662) 432-2800,(662) 432-2831,,
Bob Moore,Alcorn County Prosecuting Attorney,"PO Box 1990, Corinth 38835",(662) 286-7739,,,
Ben Caldwell,Alcorn County Sheriff,"2833 S Harper Rd, Corinth 38834",(662) 286-5521,,,
Lowell Hinton,Alcorn County Supervisor (D-1)," PO Box 69, Corinth 38835-0069",(662) 286-7707,(662) 286-7065,,
James Voyles,Alcorn County Supervisor (D-2)," PO Box 69, Corinth 38835-0069",(662) 286-7707,(662) 286-7065,,
Tim Mitchell,Alcorn County Supervisor (D-3),"PO Box 69, Corinth 38835-0069",(662) 286-7707,(662) 286-7065,,
Steve Glidewell,Alcorn County Supervisor (D-4)," PO Box 69, Corinth 38835-0069",(662) 286-7707,(662) 286-7065,,
Jimmy Tate Waldon,Alcorn County Supervisor (D-5)," PO Box 69, Corinth 38835-0069",(662) 286-7707,(662) 286-7065,,
Reggie Jones,Amite County Board Attorney," PO Box 436, Liberty 39645 ",(601) 657-4113,(601) 657-4802,,
Ronnie Harper,Amite County District Attorney," 307 Market St, Natchez 39120",(601) 445-4099,(601) 445-7947,,
Sara Hemphill,Amite County Prosecuting Attorney," PO Box 43, Liberty 39645",(601) 657-4801,(601) 657-4802,,
Tim Wroten,Amite County Sheriff," PO Box 208, Liberty 39645",(601) 657-8057,(601) 657-4199,,
Warren Leake,Amite County Supervisor (D-1)," 3040 McLain Ln, Liberty 39645.",(601) 657-1024,(601) 657-8288,,
Will L. Powell,Amite County Supervisor (D-2)," 2098 Street Rd, Liberty 39645",(601) 657-5782,(601) 657-8288,,
J. P. (Jackie) Whittington,Amite County Supervisor (D-3)," 3162 Hunter Ln, Gloster 39638.",(601) 225-4734,(601) 657-8288,,
Melvin Quin (Butch) Graves,Amite County Supervisor (D-4),"5020 Hughey Rd, Smithdale 39664",(601) 567-2495,(601) 657-8288,,
Rickie Williams Jr,Amite County Supervisor (D-5)," 7100 Hwy. 584, Osyka 39657",(601) 248-1438,(601) 657-8288,,
L. Scott Pickle,Attala County Board Attorney,"PO Box 701, Kosciusko 39090",(662) 289-8888,(662) 289-8889,,
Doug Evans,Attala County District Attorney," PO Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,
Doug Crosby,Attala County Prosecuting Attorney," 241 N Madison, Kosciusko 39090",(662) 289-0800,(662) 289-0700,,
Tim Nail,Attala County Sheriff,"112 W Adams St, Kosciusko 39090",(662) 289-5556,(662) 289-3476,,
Bobby Lindsay,Attala County Supervisor (D-1),"230 W Washington St, Kosciusko 39090",(662) 289-2898,,,
Charles Fancher,Attala County Supervisor (D-2),"230 W Washington St, Kosciusko 39090",(662) 289-2898,,,
Steven Goss,Attala County Supervisor (D-3),"230 W Washington St, Kosciusko 39090",(662) 289-2898,,,
Kary Ellington,Attala County Supervisor (D-4),"230 W Washington St, Kosciusko 39090",(662) 289-2898,,,
Tim Pinkard,Attala County Supervisor (D-5),"230 W Washington St, Kosciusko 39090",(662) 289-2898,,,
John S Farese,Benton County Board Attorney," PO Box 98, Ashland 38603 ",(662) 224-6211,(662) 224-6303,,
Ben Creekmore,Benton County District Attorney,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,
Bart Adams,Benton County Prosecuting Attorney,"108 Jefferson St, Ripley 38663",(662) 837-9976,(662) 773-4746,,
A. A. (Arnie) McMulleN ,Benton County Sheriff,"PO Box 245, Ashland 38603",(662) 224-8941,(662) 224-6307,,
Chris Shoup,Benton County Supervisor (D-1)," PO Box 218, Ashland 38603",(662) 224-6300,(662) 224-6303,,
James (Bubba) Griffin,Benton County Supervisor (D-2)," PO Box 218, Ashland 38603",(662) 224-6300,(662) 224-6303,,
James Lowry,Benton County Supervisor (D-3)," PO Box 218, Ashland 38603",(662) 224-6300,(662) 224-6303,,
Tommy Fortner,Benton County Supervisor (D-4)," PO Box 218, Ashland 38603",(662) 224-6300,(662) 224-6303,,
Ricky W (Taterbug) Pipkin,Benton County Supervisor (D-5)," PO Box 218, Ashland 38603",(662) 224-6300,(662) 224-6303,,
Ellis Turnage,Bolivar County Board Attorney," PO Box 216, Cleveland 38732",(662) 843-2811,(662) 843-3972,,
Marilyn L. Kelly,Bolivar County Circuit Clerk," PO Box 670, Cleveland 38732",(662) 843-2061,(662) 846-2943,,
Marilyn L. Kelly,Bolivar County Circuit Clerk," PO Box 205, Rosedale 38769",(662) 759-6521,(662) 759-3717,,
Brenda F. Mitchell,Bolivar County District Attorney,"PO Box 848, Cleveland 38732",(662) 843-8000,(662) 846-1711,,
Aelicia L. Thomas,Bolivar County Prosecuting Attorney,"PO Box 912, Rosedale 38769",(662) 843-3777,,,
Kelvin Williams Sr,Bolivar County Sheriff,"PO Box 157, Rosedale 38769",(662) 759-3536,(662) 759-3467,,"PO Box 539, Cleveland 38732"
Benitha Calivn-Williams,Bolivar County Supervisor (D-1)," PO Box 698, Cleveland 38732-0698",(662) 846-5877,(662) 846-5880,,
Donny Whitten,Bolivar County Supervisor (D-2)," PO Box 698, Cleveland 38732-0698",(662) 846-5877,(662) 846-5880,,
Preston Billings,Bolivar County Supervisor (D-3)," PO Box 698, Cleveland 38732-0698",(662) 846-5877,(662) 846-5880,,
James McBride,Bolivar County Supervisor (D-4)," PO Box 698, Cleveland 38732-0698",(662) 846-5877,(662) 846-5880,,
Larry L. King,Bolivar County Supervisor (D-5)," PO Box 698, Cleveland 38732-0698",(662) 846-5877,(662) 846-5880,,
Haven (Sonny) Clanton Jr,Calhoun County Board Attorney,"PO Box 630, Calhoun City 38916",(662) 628-4933,(662) 628-4030,,
Ben Creekmore,Calhoun County District Attorney,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,
Tina Dugard Scott,Calhoun County Prosecuting Attorney," PO Box 1545, Calhoun City 38916",(662) 628-5440,(662) 628-5450,,
Greg Pollan ,Calhoun County Sheriff," PO Box 158, Pittsboro 38951",(662) 412-3149,(662) 412-3197,,
Charles Bobo,Calhoun County Supervisor (D-1)," PO Box 36, Pittsboro 38951",(662) 412-3126,(662) 412-3128,,
Homer Moore,Calhoun County Supervisor (D-2),"PO Box 36, Pittsboro 38951",(662) 412-3126,(662) 412-3128,,
Gwin Longest,Calhoun County Supervisor (D-3),"PO Box 36, Pittsboro 38951",(662) 412-3126,(662) 412-3128,,
Barney J. Wade,Calhoun County Supervisor (D-4)," PO Box 36, Pittsboro 38951",(662) 412-3126,(662) 412-3128,,
Tony Morgan,Calhoun County Supervisor (D-5),"PO Box 36, Pittsboro 38951",(662) 412-3126,(662) 412-3128,,
M. Kevin Horan,Carroll County Board Attorney,"PO Box 2166, Grenada 38902-2166",(662) 226-2185,(662) 226-2127,,
Doug Evans,Carroll County District Attorney," PO Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,
Lori M. Bell,Carroll County Prosecuting Attorney,"PO Box 623, Carrollton 38917",(662) 237-1117,(662) 237-6860,,
Clint Walker,Carroll County Sheriff," PO Box 291, Carrollton 38917",(662) 237-9283,(662) 237-6655,,
Jim Neill,Carroll County Supervisor (D-1),PO Box 60,(662) 237-9660,(662) 237-9642,,
Terry Brown,Carroll County Supervisor (D-2)," PO Box 60, Carrollton 38917",(662) 237-9660,(662) 237-9642,,
Dill Tucker,Carroll County Supervisor (D-3),"PO Box 60, Carrollton 38917",(662) 237-9660,(662) 237-9642,,
Claude Fluker,Carroll County Supervisor (D-4),"PO Box 60, Carrollton 38917",(662) 237-9660,(662) 237-9642,,
Rickie Corley,Carroll County Supervisor (D-5)," PO Box 60, Carrollton 38917",(662) 237-9660,(662) 237-9642,,
Gary Carnathan ,Chickasaw County Board Attorney,"316 N Boradway St, Tupelo 38804",(662) 842-3321,,,
Ben Creekmore,Chickasaw County District Attorney,"1301 Monroe Avenue, Oxford 38655",(662) 234-3304,(662) 234-0299,,
Gene Barton,Chickasaw County Prosecuting Attorney," PO Box 147, Okolona 38860",(662) 456-4201,,,
James Meyers,Chickasaw County Sheriff,"130 Lancaster Cir, Houston 38851",(662) 456-2339,(662) 456-5291,,
Anderson McFarland,Chickasaw County Supervisor (D-1)," 1 Pinson Square Rd, Houston 38851",(662) 456-2513,(662) 456-5295,,
Bill Blissard ,Chickasaw County Supervisor (D-2),"1 Pinson Square Rd, Houston 38851",(662) 456-2513,(662) 456-5295,,
Russell Earl Brooks,Chickasaw County Supervisor (D-3),"1 Pinson Square Rd, Houston 38851",(662) 456-2513,(662) 456-5295,,
Jerry Hall,Chickasaw County Supervisor (D-4),"1 Pinson Square Rd, Houston 38851",(662) 456-2513,(662) 456-5295,,
James R. King,Chickasaw County Supervisor (D-5),"1 Pinson Square Rd, Houston 38851",(662) 456-2513,(662) 456-5295,,
Kacey Young,Choctaw County Board Attorney,"PO Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,
Thomas Raybourn,Choctaw County Constable (P-1)," 1040 Bright Rd, Ackerman 39735",(662) 285-3599,(662) 285-9039,,
Chris Coleman,Choctaw County Constable (P-2)," PO Box 1308, Ackerman 39735 ",(662) 285-3599,(662) 285-9039,,
Doug Evans,Choctaw County District Attorney," PO Box 1262, Grenada 38902-1262",(662) 226-8545,(662) 227-9558,,
William Stephenson  ,Choctaw County Justice Court Judge (Post 1),"140 Jail House Rd, Ackerman 39735",(662) 285-3599,(662) 285-9039,,
Teresa Weeks,Choctaw County Justice Court Judge (Post 2),"140 Jail House Rd, Ackerman 39735",(662) 285-3599,(662) 285-9039,,
Kevin Null,Choctaw County Prosecuting Attorney," PO Box 756, Ackerman 39735",(662) 285-3880,(662) 285-3073,,
Cloyd Halford,Choctaw County Sheriff,"122 Jail House Rd, Ackerman 39735",(662) 285-6129,(662) 285-9040,,
Joey Stephenson,Choctaw County Supervisor (D-1),"PO Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,
Greg Fondren,Choctaw County Supervisor (D-2),"PO Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,
Chris McIntire,Choctaw County Supervisor (D-3)," PO Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,
John Shumaker,Choctaw County Supervisor (D-4)," PO Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,
Eric Chambers,Choctaw County Supervisor (D-5),"PO Box 250, Ackerman 39735",(662) 285-6329,(662) 285-3444,,
Lori Power Kerr.,Choctaw County Tax Assessor," PO Box 907, Ackerman 39735",(662) 285-6320,(662) 285-9067,,
Lori Power Kerr.,Choctaw County Tax Collector," PO Box 907, Ackerman 39735",(662) 285-6320,(662) 285-9067,,
Barbara Blackmon,Claiborne County Board Attorney," 907 Peace St, Canton 39046",(601) 859-1567,(601) 859-2311,,
Alexander C. Martin,Claiborne County District Attorney,"PO Drawer 767, Hazlehurst 39083",(601) 894-5040,(601) 894-9080,,
Michael KeytoN,Claiborne County Prosecuting Attorney,"PO Box 694, Port Gibson 39150",(601) 437-3322,(601) 437-0088,,
