"","","","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","","","","",""
"","","","","","MONTHLY FACT SHEET","","","","",""
"","","","","","As of December1, 2003","","","","",""
"","INMATE STATISTICS (continued)","","","","","","","","",""
"BY RACE AND SEX","","","","","","","","","",""
"","","","% OF","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","","NO. OF","TOTAL","",""
"RACE
MALE","","POPULATION","","FEMALE","POPULATION","","OFFENDERS","OFFENDERS","",""
"Black","14,931","","69.85%","1,200","54.64%","","16,131","68.44%","",""
"White","6,284","","29.40%","976","44.44%","","7,260","30.80%","",""
"Hispanic","111","","0.52%","8","0.36%","","119","0.50%","",""
"Native American","20","","0.09%","6","0.27%","","26","0.11%","",""
"Asian","29","","0.14%","","0.27%","","35","0.15%","",""
"Data Unavailable","0","","0.00%","6 0","0.00%","","0","0.00%","",""
"TOTAL","21,375","","100.00%","2,196","100.00%","","23,571","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","",""
"","","Black","","White","Hispanic","Native American","","Asian","Data Unavailable","TOTAL"
"LOCATION","","Male","Female","Male
Female","Male
Female","Male","Female","Male
Female
Male","Female",""
"MSP","","4,157","0","1,454
0","34
0","","6
0","7
0","0
0","5,658"
"CMCF","","1,069","832","616
566","11
4","","3
1","2
5","0
0","3,109"
"SMCI","","1,379","0","692
0","21
0","","4
0","6
0","0
0","2,102"
"County Jails (approved)","","986","46","647
56","9
2","","2
2","2
0","0
0","1,752"
"County Jails (unapproved)","","104","5","81
17","0
0","","0
0","1
0","0
0","208"
"Private Prisons","","2,505","0","944
0","7
0","","2
0","5
0","0
0","3,463"
"Regional Correctional Facilities","","2,156","0","593
0","13
0","","0
0","2
0","0
0","2,764"
"Community Work Centers","","919","113","364
104","6
0","","0
0","2
0","0
0","1,508"
"Community Trusties","","15","0","7
0","0
0","","0
0","0
0","0
0","22"
"","","13,290","996","5,398
743","101
6","","17
3","27
5","0
0","20,586"
"Intensive Supervison Program","","564","100","464
170","5
2","","2
2","2
0","0
0","1,311"
"Earned Release Supervision","","873","93","275
42","0
0","","1
1","0
0","0
0","1,285"
"Medical Release","","0","0","0
0","0
0","","0
0","0
0","0
0","0"
"Other Custody","","112","3","97
10","3
0","","0
0","0
0","0
0","225"
"At Large","","91","8","50
11","2
0","","0
0","0
1","0
0","163"
"University of MS Medical Center","","1","0","0
0","0
0","","0
0","0
0","0
0","1"
"TOTAL","","14,931","1,200","6,284
976","111
8","","20
6","29
6","0
0","23,571"
"% of Total Offenses","","63.34%","5.09%","26.66%
4.14%","0.47%
0.03%","0.08%","0.03%","0.12%
0.03%","0.00%
0.00%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","",""
"","","DRUG","","PROPERTY","VIOLENT","","","","",""
"LOCATION","","OFFENSES","","OFFENSES","OFFENSES","","TOTAL","","",""
"MSP","","","1,335","1,317","3,006","","5,658","","",""
"CMCF","","","999","1,087","1,023","","3,109","","",""
"SMCI","","","684","679","739","","2,102","","",""
"County Jails (approved)","","","793","697","262","","1,752","","",""
"County Jails (unapproved)","","","82","89","37","","208","","",""
"Private Prisons","","","691","983","1,789","","3,463","","",""
"Regional Correctional Facilities","","","912","626","1,226","","2,764","","",""
"Community Work Centers","","","861","641","6","","1,508","","",""
"Community Trusties","","","10","7","5","","22","","",""
"","","","6,367","6,126","8,093","","20,586","CUSTODY POPULATION","",""
"Intensive Supervison Program","","","453","822","36","","1,311","","",""
"Earned Release Supervision","","","544","498","243","","1,285","","",""
"Medical Release","","","0","0","0","","0","","",""
"Other Custody","","","72","83","70","","225","","",""
"At Large","","","59","77","27","","163","","",""
"University of MS Medical Center","","","1","0","0","","1","","",""
"TOTAL","","","7,496","7,606","8,469","","23,571","","",""
"% of Total Offenses","","","31.80%","32.27%","35.93%","","100.00%","","",""
"SPECIFIC OFFENSE STATISTICS","","","","","","TABE TEST STATISTICS","","","",""
"","","","NO. OF","","GRADE","","READING","MATH","PERCENT TESTED",""
"TYPE OF OFFENDER","","","OFFENDERS","","LEVEL","TESTED","%","TESTED
%","USING TABE",""
"Armed Robbery (Mandatory)","","","","1,910","8.8 - 12.9","2,137","33.28%","664
10.34%","Total Population","20,586"
"Lifers","","","","1,804","6.6 - 8.9","2,243","34.93%","1,920
29.90%","TABE Tested","6,421"
"Habitual Offenders","","","","1,468","3.6 - 6.9","1,241","19.33%","2,848
44.35%","",""
"","","","","","","","","","","31.19%"
"Habitual Lifers","","","","302","1.6 - 3.9","792","12.33%","977
15.22%","",""
"Death Row","","","","68","0.0 - 1.9","8","0.12%","12
0.19%","",""
"TOTAL","","","","5,552","TOTAL","6,421","100.00%","6,421","100.00% TABE test started September 2002",""
