"","","","","","As of May 1, 2017","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
12,340","","64.78%","","","","653","","","37.92%","","","","12,993","","","","62.55%"
"White
6,441","","33.81%","","","","1,046","","","60.74%","","","","7,487","","","","36.05%"
"Hispanic
188","",".99%","","","","15","","",".87%","","","","203","","","",".98%"
"Native American
26","",".14%","","","","3","","",".17%","","","","29","","","",".14%"
"Asian
46","",".24%","","","","2","","",".12%","","","","48","","","",".23%"
"Data Unavailable
8","",".04%","","","","3","","",".17%","","","","11","","","",".05%"
"TOTAL
19,049","","100.00%","","","","1,722","","","100.00%","","","","20,771","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,182","","0","1,133","1","","29","0","","1","0","8","","0","0","0","3,354"
"CMCF","1,421","","372","855","541","","17","7","","5","2","6","","1","1","1","3,229"
"SMCI","2,021","","0","984","0","","27","0","","1","0","4","","0","0","0","3,037"
"County Jails (approved)","383","","6","316","22","","4","0","","1","0","2","","0","1","0","735"
"County Jails (unapproved)","189","","5","122","16","","3","0","","1","0","1","","0","2","0","339"
"Youthful Offender Facility","23","","0","1","0","","1","0","","0","0","0","","0","0","0","25"
"Private Prisons","2,226","","0","814","0","","19","0","","7","0","2","","0","0","0","3,068"
"Regional Correctional Facilities","2,331","","101","1,177","129","","48","2","","6","0","11","","0","0","0","3,805"
"Community Work Centers","355","","35","242","117","","4","4","","2","0","3","","1","0","0","763"
"Community Trusties","26","","0","15","0","","0","0","","0","0","1","","0","0","0","42"
"TVC","1","","1","0","0","","0","0","","0","0","0","","0","0","0","2"
"Transitional Housing","11","","0","12","0","","0","0","","0","0","0","","0","0","0","23"
"Pending File Review","53","","5","37","3","","0","0","","0","0","2","","0","0","0","100"
"Court Order","134","","5","100","17","","0","0","","0","0","0","","0","0","0","256"
"","11,356","","530","5,808","846","","152","13","","24","2","40","","2","4","1","18,778"
"Intensive Supervison Program","303","","75","237","130","","5","1","","2","1","2","","0","2","1","759"
"Earned Release Supervision","399","","36","128","36","","2","0","","0","0","0","","0","0","0","601"
"Medical Release","5","","0","4","1","","0","0","","0","0","0","","0","0","0","10"
"Other Custody","209","","11","209","23","","26","1","","0","0","4","","0","1","0","484"
"At Large","16","","0","6","2","","3","0","","0","0","0","","0","0","1","28"
"Bond Monitoring","1","","0","0","0","","0","0","","0","0","0","","0","1","0","2"
"Contempt","0","","0","1","0","","0","0","","0","0","0","","0","0","0","1"
"Conditional Release","1","","0","1","1","","0","0","","0","0","0","","0","0","0","3"
"Failure to Report-Monitoring","2","","0","4","0","","0","0","","0","0","0","","0","0","0","6"
"RRP","41","","1","36","7","","0","0","","0","0","0","","0","0","0","85"
"Off-Grounds Medical (Hospital)","7","","0","7","0","","0","0","","0","0","0","","0","0","0","14"
"TOTAL","12,340","","653","6,441","1,046","","188","15","","26","3","46","","2","8","3","20,771"
"% OF TOTAL OFFENDERS","59.41%","","3.14%","31.01%","5.04%","",".91%",".07%","",".13%",".01%",".22%","",".01%",".04%",".01%","100.00%"
