"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,220","","0","1,039","","0","17","","0","9","","0","5","","0","0","0","","3,290"
"CMCF","1,143","","417","634","","487","6","","1","1","","1","1","","0","0","0","","2,691"
"SMCI","2,062","","0","1,071","","0","46","","0","5","","0","9","","0","0","0","","3,193"
"County Jails (approved)","792","","22","470","","46","9","","0","3","","1","0","","0","0","0","","1,343"
"County Jails (unapproved)","80","","8","62","","11","0","","0","2","","1","0","","0","0","0","","164"
"Youthful Offender Facility","26","","0","11","","0","0","","0","0","","0","0","","0","0","0","","37"
"Private Prisons","3,219","","0","1,034","","0","34","","0","7","","0","3","","0","2","0","","4,299"
"Regional Correctional Facilities","2,763","","138","1,301","","142","39","","1","1","","1","6","","0","0","0","","4,392"
"Community Work Centers","606","","37","339","","134","0","","1","1","","0","1","","0","0","0","","1,119"
"Community Trusties","6","","0","6","","0","0","","0","0","","0","0","","0","0","0","","12"
"Pending File Review","45","","9","30","","10","4","","4","4","","3","3","","3","0","0","","115"
"Transitional Housing","0","","0","3","","0","0","","0","0","","0","0","","0","0","0","","3"
"Court Order","152","","10","99","","19","1","","0","0","","0","3","","1","0","0","","285"
"","13,114","","641","6,099","","849","156","","7","33","","7","31","","4","2","0","","20,943"
"Intensive Supervison Program","644","","160","464","","247","8","","7","3","","2","4","","1","3","4","","1,547"
"Earned Release Supervision","948","","70","322","","77","7","","0","3","","0","4","","0","0","0","","1,431"
"Medical Release","18","","0","5","","2","0","","0","0","","0","0","","0","0","0","","25"
"Other Custody","221","","12","164","","28","51","","4","1","","1","3","","0","3","0","","488"
"At Large","18","","0","8","","2","3","","0","0","","0","0","","0","0","0","","31"
"Off-Grounds Medical (Hospital)","7","","0","2","","1","0","","0","0","","0","0","","0","0","0","","10"
"TOTAL","14,970","","883","7,064","","1,206","225","","18","40","","10","42","","5","8","4","","24,475"
"% OF TOTAL OFFENDERS","61.16%","","3.61%","28.86%","","4.93%",".92%","",".07%",".16%","",".04%",".17%","",".02%",".03%",".02%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","722","","699","","","177","","","1,187","","","505","","","","3,290",""
"CMCF","","","693","","854","","","123","","","709","","","312","","","","2,691",""
"SMCI","","","615","","763","","","174","","","1,090","","","551","","","","3,193",""
"County Jails (approved)","","","635","","516","","","33","","","104","","","55","","","","1,343",""
"Youthful Offender Facility","","","3 5","","6","","","3","","","20","","","5","","","","37",""
"County Jails (unapproved)","","","5","","73","","","7","","","18","","","11","","","","164",""
"Private Prisons","","","501","","836","","","281","","","2,039","","","642","","","","4,299",""
"Regional Correctional Facilities","","","951","","1,004","","","332","","","1,288","","","817","","","","4,392",""
"Community Work Centers","","","676","","440","","","0","","","3","","","0","","","","1,119",""
"Community Trusties","","","10","","","","","0","","","0","","","0","","","","12",""
"Pending File Review","","","48","","2 6
0","","","2","","","4","","","1","","","","115",""
"Transitional Housing","","","2","","1","","","0","","","0","","","0","","","","3",""
"Court Order","","","105","","129","","","4","","","34","","","13","","","","285",""
"TOTAL CUSTODY POPULATION","","","5,016","","5,383","","","1,136","","","6,496","","","2,912","","","","20,943",""
"% OF TOTAL OFFENSES","","","23.95%","","25.70%","","","5.42%","","","31.02%","","","13.90%","","","","100.00%",""
"Intensive Supervison Program","","","681","","810","","","15","","","37","","","4","","","","1,547",""
"Earned Release Supervision","","","416","","459","","","190","","","362","","","4","","","","1,431",""
"Medical Release","","","11","","10","","","1","","","3","","","","","","","25",""
"Other Custody","","","188","","184","","","12","","","80","","","4","","","","488",""
"At Large","","","","","7","","","","","","7","","","0","","","","31",""
"Off-Grounds Medical (Hospital)","","","7 2","","31","","","0 1","","","4","","","0","","","","10",""
"TOTAL","","","6,321","","6,866","","","1,355","","","6,989","","","2,944","","","","24,475",""
"% OF TOTAL OFFENSES","","","25.83%","","28.05%","","","5.54%","","","28.56%","","","12.03%","","","","100.00%","0 2"
