"TOTAL
18,999","","100.00%","","1,659","","","100.00%","20,658","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","",""
"","","Black","White","","Hispanic","","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","","Male","Female","Male
Female","Male
Female","Male
Female"
"MSP","2,214","0","1,090
0","","19","0","2
0","5
0","1
0
3,331"
"CMCF","1,381","334","877
521","","24","9","4
1","5
2","0
1
3,159"
"SMCI","2,006","0","983
0","","26","0","1
0","6
0","0
0
3,022"
"County Jails (approved)","391","6","291
27","","7","0","1
0","2
0","1
0
726"
"County Jails (unapproved)","173","9","98
13","","0","1","0
0","0
1","1
1
297"
"Youthful Offender Facility","27","0","2
0","","1","0","0
0","0
0","0
0
30"
"Private Prisons","2,220","0","810
0","","19","0","8
0","1
0","0
0
3,058"
"Regional Correctional Facilities","2,539","114","1,263
108","","49","3","7
1","14
0","0
0
4,098"
"Community Work Centers","378","31","219
116","","3","3","2
0","4
0","0
0
756"
"Community Trusties","23","0","9
0","","0","0","0
0","1
0","0
0
33"
"TVC","0","1","0
2","","0","0","0
0","0
0","0
0
3"
"Pending File Review","42","1","20
3","","0","0","0
0","1
0","0
0
67"
"Court Order","112","6","63
11","","0","0","0
0","0
0","0
0
192"
"","11,506","502","5,725
801","","148","16","25
2","39
3","3
2
18,772"
"Intensive Supervison Program","292","94","238
110","","3","1","1
0","3
1","1
1
745"
"Earned Release Supervision","365","44","117
38","","4","0","0
0","1
0","0
0
569"
"Medical Release","7","0","4
2","","0","0","0
0","0
0","0
0
13"
"Other Custody","222","12","197
21","","33","2","0
1","4
0","1
0
493"
"Transitional Housing","1","0","0
0","","0","0","0
0","0
0","0
0
1"
"At Large","17","0","6
2","","3","0","0
0","0
0","0
0
28"
"Conditional Release","0","0","1
1","","0","0","0
0","0
0","0
0
2"
"RRP","16","2","8
1","","0","0","0
0","0
0","0
0
27"
"Off-Grounds Medical (Hospital)","2","0","4
0","","1","0","1
0","0
0","0
0
8"
"TOTAL","12,428","654","6,300
976","","192","19","27
3","47
4","5
3
20,658"
"% OF TOTAL OFFENDERS","60.16%","3.17%","30.50%
4.72%","",".93%",".09%",".13%
.01%",".23%
.02%",".02%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","",""
"","","","","","AGGRAVATED","","","",""
"","","DRUG","PROPERTY","","ASSUALT","","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","","OFFENSES","","OFFENSES","OFFENSES","TOTAL"
"MSP","","554","590","","182","","1,444","561","3,331"
"CMCF","","727","877","","141","","1,097","317","3,159"
"SMCI","","500","583","","196","","1,196","547","3,022"
"County Jails (approved)","","361","234","","15","","104","12","726"
"Youthful Offender Facility","","0","1","","2","","23","4","30"
"County Jails (unapproved)","","83","139","","14","","45","16","297"
"Private Prisons","","261","363","","210","","1,664","560","3,058"
"Regional Correctional Facilities","","673","781","","324","","1,524","796","4,098"
"Community Work Centers","","444","236","","0","","76","0","756"
"Community Trusties","","26","6","","0","","1","0","33"
"Pending File Review","","21","30","","3","","11","2","67"
"Court Order","","47","73","","7","","54","11","192"
"TVC","","2","0","","0","","1","0","3"
"TOTAL CUSTODY POPULATION","","3,699","3,913","","1,094","","7,240","2,826","18,772"
"% OF TOTAL OFFENSES","","19.70%","20.84%","","5.83%","","38.57%","15.05%","100.00%"
"Intensive Supervison Program","","297","368","","13","","62","5","745"
"Earned Release Supervision","","131","36","","111","","285","6","569"
"Medical Release","","6","5","","0","","2","0","13"
"Other Custody","","162","204","","13","","91","23","493"
"At Large","","","15","","0","","6","0","28"
"Transitional Housing","","","1","","0","","0","0",""
"Conditional Release","","7 0 0 4 1","0","","0","","2","0",""
"RRP","","","14","","0","","9","0","27"
"Off-Grounds Medical (Hospital)","","","3","","1","","1","2","8"
"TOTAL","","4,307","4,559","","1,232","","7,698","2,862","20,658"
"% OF TOTAL OFFENSES","","20.85%","22.07%","","5.96%","","37.27%","13.85%","21
100.00%"
