"TOTAL
22,659","","100.00%","","","2,210","","","100.00%","","24,869","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","2,113","","0","940","1","16","0","4","0","3","0","0","0","3,077"
"CMCF","1,248","","504","757","620","15","5","3","3","1","2","2","0","3,160"
"SMCI","2,036","","0","1,049","0","45","0","6","0","5","0","0","0","3,141"
"County Jails (approved)","721","","52","437","97","3","1","1","0","0","0","0","0","1,312"
"County Jails (unapproved)","177","","9","100","19","7","0","1","0","0","0","1","1","315"
"Private Prisons","3,862","","0","1,228","0","32","0","7","0","7","0","0","0","5,136"
"Regional Correctional Facilities","2,131","","22","1,042","38","32","0","2","0","4","0","2","0","3,273"
"Community Work Centers","943","","51","415","144","5","1","1","0","4","0","0","0","1,564"
"Community Trusties","7","","0","7","0","0","0","0","0","0","0","0","0","14"
"Pending File Review","70","","8","27","20","1","1","0","0","0","0","0","0","127"
"Court Order","172","","10","98","13","1","0","0","0","1","0","0","0","295"
"","13,480","","656","6,100","952","157","8","25","3","25","2","5","1","21,414"
"Intensive Supervison Program","592","","148","532","245","10","1","3","0","7","0","1","0","1,539"
"Earned Release Supervision","936","","86","349","63","1","1","1","0","0","0","0","0","1,437"
"Medical Release","19","","5","7","3","0","0","0","0","0","0","0","0","34"
"Other Custody","184","","9","132","18","42","4","1","1","2","0","5","0","398"
"At Large","21","","0","11","2","3","0","0","0","0","0","0","0","37"
"Off-Grounds Medical (Hospital)","6","","1","2","1","0","0","0","0","0","0","0","0","10"
"TOTAL","15,238","","905","7,133","1,284","213","14","30","4","34","2","11","1","24,869"
"% OF TOTAL OFFENDERS","61.27%","","3.64%","28.68%","5.16%",".86%",".06%",".12%",".02%",".14%",".01%",".04%",".00%","100.00%"
