"","","","","","","As of November 1, 2006","","","","","","","","","",""
"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","",""
"","","% OF","","","","","% OF","","","","","","% OF","","",""
"","","TOTAL MALE","","","","","TOTAL FEMALE","","","NO. OF","","TOTAL","","","",""
"RACE
MALE","","POPULATION","","","FEMALE","","POPULATION","","","OFFENDERS","","","OFFENDERS","","",""
"Black
15,705","","68.75%","","","1,226","","49.80%","","","16,931","","","66.91%","","",""
"White
6,870","","30.07%","","","1,212","","49.23%","","","8,082","","","31.94%","","",""
"Hispanic
181","","0.79%","","","5","","0.61%","","","196","","0.77%","","","",""
"Native American
24","","0.11%","","","11","","0.04%","","","25","","0.10%","","","",""
"Asian
36","","0.16%","","","","","0.12%","","","39","","0.15%","","","",""
"Data Unavailable
28","","0.12%","","","3 5","","0.20%","","","33","","0.13%","","","",""
"TOTAL
22,844","","100.00%","","","2,462","","100.00%","","","25,306","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","",""
"","","Black","","","White","","Hispanic","","","Native American","","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","3,249","","1","1,236","","0","33","0","4","","0","7","0","0","0","4,530"
"CMCF","1,188","","747","691","","659","11","6","0","","0","1","3","1","0","3,307"
"SMCI","1,482","","0","743","","0","22","0","3","","0","5","0","0","0","2,255"
"County Jails (approved)","730","","67","465","","78","7","4","2","","0","1","0","8","1","1,363"
"County Jails (unapproved)","100","","6","43","","6","1","0","0","","0","1","0","3","0","160"
"Private Prisons","3,653","","0","1,171","","0","24","0","3","","0","7","0","3","0","4,861"
"Regional Correctional Facilities","2,207","","0","832","","0","17","0","3","","0","6","0","1","0","3,066"
"Community Work Centers","1,064","","109","476","","106","14","3","4","","1","3","0","0","0","1,780"
"Community Trusties","13","","0","5","","0","0","0","0","","0","0","0","0","0","18"
"Pending File Review","30","","4","16","","9","0","0","0","","0","0","0","0","0","59"
"Court Order","135","","9","108","","35","0","0","1","","0","0","0","0","0","288"
"","13,851","","943","5,786","","893","129","13","20","","1","31","3","16","1","21,687"
"Intensive Supervison Program","569","","169","499","","209","11","1","1","","0","1","0","10","3","1,473"
"Earned Release Supervision","1,059","","100","432","","90","8","1","3","","0","0","0","0","0","1,693"
"Medical Release","5","","0","4","","0","0","0","0","","0","0","0","0","0","9"
"Other Custody","138","","9","117","","15","28","0","0","","0","3","0","2","1","313"
"At Large","82","","4","30","","4","5","0","0","","0","1","0","0","0","126"
"Off-Grounds Medical (Hospital)","1","","1","2","","1","0","0","0","","0","0","0","0","0","5"
"TOTAL","15,705","","1,226","6,870","","1,212","181","15","24","","1","36","3","28","5","25,306"
"% OF TOTAL OFFENSES","62.06%","","4.84%","27.15%","","4.79%","0.72%","0.06%","0.09%","","0.00%","0.14%","0.01%","0.11%","0.02%","100.00%"
