"TOTAL
22,303","","100.00%","","2,369","","100.00%","","24,672","","","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female",""
"MSP","3,234","","0","1,198","0","34","0","1","0","5","0","1","0","4,473"
"CMCF","1,035","","729","652","638","13","7","3","1","0","4","1","0","3,083"
"SMCI","1,228","","0","663","0","18","0","4","0","6","0","1","0","1,920"
"County Jails (approved)","676","","58","463","73","9","1","0","0","2","0","4","2","1,288"
"County Jails (unapproved)","75","","7","44","16","1","1","0","0","0","0","2","1","147"
"Private Prisons","3,709","","0","1,140","0","20","0","10","0","8","0","2","0","4,889"
"Regional Correctional Facilities","2,230","","0","780","0","19","0","2","0","6","0","1","0","3,038"
"Community Work Centers","1,009","","113","513","98","14","2","1","1","2","0","1","0","1,754"
"Community Trusties","13","","0","7","0","0","0","0","0","0","0","0","0","20"
"Pending File Review","10","","2","6","3","0","0","0","0","0","0","1","0","22"
"Court Order","171","","12","126","30","0","1","1","0","0","0","0","0","341"
"","13,390","","921","5,592","858","128","12","22","2","29","4","14","3","20,975"
"Intensive Supervison Program","640","","152","553","201","5","1","0","0","1","0","10","2","1,565"
"Earned Release Supervision","1,050","","88","430","91","4","1","2","0","1","0","0","0","1,667"
"Medical Release","5","","0","4","0","0","0","0","0","0","0","0","0","9"
"Other Custody","139","","9","127","14","25","0","0","0","2","0","2","0","318"
"At Large","82","","6","35","3","4","0","0","0","0","0","1","0","131"
"Off-Grounds Medical (Hospital)","2","","0","4","1","0","0","0","0","0","0","0","0","7"
"TOTAL","15,308","","1,176","6,745","1,168","166","14","24","2","33","4","27","5","24,672"
"% OF TOTAL OFFENSES","62.05%","","4.77%","27.34%","4.73%","0.67%","0.06%","0.10%","0.01%","0.13%","0.02%","0.11%","0.02%","100.00%"
