"TOTAL
20,605","","100.00%","","1,675","","100.00%","22,280","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","Black","White","","Hispanic","Native American","Asian","Data Unavailable
TOTAL"
"LOCATION","Male","Female","Male
Female","","Male
Female","Male
Female","Male
Female","Male
Female"
"MSP","2,309","0","1,054
0","","12
0","0
0","4
0","0
0
3,379"
"CMCF","1,497","440","815
524","","21
5","3
2","6
0","1
0
3,314"
"SMCI","2,131","0","990
0","","50
0","5
0","7
0","0
0
3,183"
"County Jails (approved)","845","36","555
58","","5
0","5
0","6
0","0
0
1,510"
"County Jails (unapproved)","218","13","121
21","","4
0","2
0","2
0","1
1
383"
"Private Prisons","3,205","0","1,018
0","","27
0","2
0","3
0","0
0
4,255"
"Regional Correctional Facilities","2,699","142","1,297
153","","40
1","2
1","10
0","2
0
4,347"
"Community Work Centers","764","80","448
165","","4
1","1
0","2
0","1
0
1,466"
"Community Trusties","10","0","4
0","","0
0","0
0","0
0","0
0
14"
"Pending File Review","11","1","13
2","","1
0","0
0","0
0","0
0
28"
"Court Order","219","6","153
22","","0
0","0
1","0
0","0
0
401"
"","13,908","718","6,468
945","","164
7","20
4","40
0","5
1
22,280"
"Intensive Supervison Program","656","163","541
281","","6
1","3
0","4
2","6
0
1,663"
"Earned Release Supervision","1,007","92","435
72","","5
0","0
0","1
1","0
0
1,613"
"Medical Release","16","1","6
2","","0
0","0
0","0
0","0
0
25"
"Other Custody","212","10","158
20","","44
5","0
1","2
0","4
0
456"
"At Large","21","0","8
2","","3
0","0
0","0
0","0
0
34"
"Off-Grounds Medical (Hospital)","5","1","2
0","","0
0","0
0","0
0","0
0
8"
"TOTAL","15,825","985","7,618
1,322","","222
13","23
5","47
3","15
1
26,079"
"% OF TOTAL OFFENDERS","60.68%","3.78%","29.21%
5.07%","",".85%
.05%",".09%
.02%",".18%
.01%",".06%
.00%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","","",""
"","","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","786","766","","157","1,197","473","3,379"
"CMCF","","853","1,114","","176","818","353","3,314"
"SMCI","","718","811","","184","978","492","3,183"
"County Jails (approved)","","755","639","","22","58","36","1,510"
"County Jails (unapproved)","","122","181","","16","37","27","383"
"Private Prisons","","436","840","","262","2,086","631","4,255"
"Regional Correctional Facilities","","973","1,096","","311","1,178","789","4,347"
"Community Work Centers","","901","560","","1","4","0","1,466"
"Community Trusties","","","","","0","0","0","14"
"Pending File Review","","9 9","5 1
2","","1","6","0","28"
"Court Order","","143","173","","10","52","23","401"
"TOTAL CUSTODY POPULATION","","5,705","6,197","","1,140","6,414","2,824","22,280"
"% OF TOTAL OFFENSES","","25.61%","27.81%","","5.12%","28.79%","12.68%","100.00%"
"Intensive Supervison Program","","805","785","","18","48","7","1,663"
"Earned Release Supervision","","507","511","","189","404","2","1,613"
"Medical Release","","13","7","","2","3","","25"
"Other Custody","","199","160","","13","64","0 2
0","456"
"At Large","","","0","","0","7","","34"
"Off-Grounds Medical (Hospital)","","7 1","52","","0","2","0 0","8"
"TOTAL","","7,237","7,685","","1,362","6,942","2,853","26,079"
"% OF TOTAL OFFENSES","","27.75%","29.47%","","5.22%","26.62%","10.94%","100.00%"
