"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Male","","Female","Male","Female","Male","","Female","Male","","Female","Male","","Female","Male","Female","",""
"MSP","2,287","","0","1,077","0","15","","0","4","","0","6","","0","0","0","","3,389"
"CMCF","1,356","","350","803","501","26","","11","7","","3","5","","1","1","1","","3,065"
"SMCI","1,949","","0","1,009","0","25","","0","1","","0","6","","0","0","0","","2,990"
"County Jails (approved)","511","","9","365","35","5","","0","2","","0","2","","0","1","0","","930"
"County Jails (unapproved)","210","","14","124","24","1","","0","1","","0","0","","0","2","0","","376"
"Youthful Offender Facility","32","","0","0","0","1","","0","0","","0","0","","0","0","0","","33"
"Private Prisons","2,788","","0","1,030","0","37","","0","10","","0","5","","0","0","0","","3,870"
"Regional Correctional Facilities","2,190","","102","1,045","117","28","","4","3","","0","12","","0","0","0","","3,501"
"Community Work Centers","484","","43","265","126","1","","2","2","","0","3","","0","1","0","","927"
"Community Trusties","32","","0","14","0","0","","0","0","","0","1","","0","0","0","","47"
"Pending File Review","49","","6","37","9","0","","0","0","","0","1","","0","0","0","","102"
"Conditional Release","0","","0","1","1","0","","0","0","","0","0","","0","0","0","","2"
"County Jail","0","","0","1","0","0","","0","0","","0","0","","0","0","0","","1"
"Court Order","138","","6","101","19","0","","0","0","","0","0","","0","0","0","","264"
"","12,026","","530","5,872","832","139","","17","30","","3","41","","1","5","1","","19,497"
"Intensive Supervison Program","284","","92","231","107","2","","2","1","","1","4","","0","0","0","","724"
"Earned Release Supervision","471","","59","150","37","4","","0","0","","0","1","","0","0","0","","722"
"Medical Release","8","","0","4","2","0","","0","0","","0","0","","0","0","0","","14"
"Other Custody","229","","13","209","25","42","","3","1","","1","3","","0","3","0","","529"
"Transitional Housing","1","","0","0","0","0","","0","0","","0","0","","0","0","0","","1"
"At Large","15","","0","6","2","3","","0","0","","0","0","","0","0","0","","26"
"TVC","0","","1","0","0","0","","0","0","","0","0","","0","0","0","","1"
"Off-Grounds Medical (Hospital)","4","","0","2","1","0","","0","0","","0","0","","0","0","0","","7"
"TOTAL","13,038","","695","6,474","1,006","190","","22","32","","5","49","","1","8","1","","21,521"
"% OF TOTAL OFFENDERS","60.58%","","3.23%","30.08%","4.67%",".88%","",".10%",".15%","",".02%",".23%","",".00%",".04%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","647","576","","","187","","","1,434","","","545","","","","3,389",""
"CMCF","","","764","919","","","155","","","922","","","305","","","","3,065",""
"SMCI","","","523","615","","","184","","","1,115","","","553","","","","2,990",""
"County Jails (approved)","","","515","294","","","16","","","97","","","8 4","","","","930",""
"Youthful Offender Facility","","","0","0","","","6","","","23","","","","","","","33",""
"County Jails (unapproved)","","","126","161","","","11","","","68","","","10","","","","376",""
"Private Prisons","","","469","517","","","265","","","1,935","","","684","","","","3,870",""
"Regional Correctional Facilities","","","616","607","","","271","","","1,313","","","694","","","","3,501",""
"Community Work Centers","","","593","265","","","","","","69","","","0","","","","927",""
"Community Trusties","","","30","13","","","","","","4","","","0","","","","47",""
"Pending File Review","","","35","52","","","5","","","8","","","2","","","","102",""
"County Jail","","","","1","","","0","","","0","","","0","","","","1",""
"Conditional Release","","","0 0 8","0","","","0","","","2","","","0","","","","2",""
"Court Order","","","9","96","","","14","","","56","","","9","","","","264",""
"TOTAL CUSTODY POPULATION","","","4,407","4,116","","","1,114","","","7,046","","","2,814","","","","19,497",""
"% OF TOTAL OFFENSES","","","22.60%","21.11%","","","5.71%","","","36.14%","","","14.43%","","","","100.00%",""
"Intensive Supervison Program","","","326","335","","","9","","","48","","","6","","","","724",""
"Earned Release Supervision","","","226","51","","","125","","","316","","","4","","","","722",""
"Medical Release","","","7","4","","","0","","","3","","","0 2","","","","14",""
"Other Custody","","","175","225","","","16","","","88","","","5","","","","529",""
"At Large","","","","14","","","0","","","6","","","0","","","","26",""
"Transitional Housing","","","","1","","","0","","","0","","","0","","","","1",""
"TVC","","","","0","","","0","","","1","","","0","","","","1",""
"Off-Grounds Medical (Hospital)","","","","2","","","2","","","3","","","0","","","","7",""
"TOTAL","","","5,147","4,748","","","1,266","","","7,511","","","2,849","","","","21,521",""
"% OF TOTAL OFFENSES","","","23.92%","22.06%","","","5.88%","","","34.90%","","","13.24%","","","","100.00%","6 0 0 0
0 0"
