"MALES","","","","","","","",""
"Class","Black","White","Hispanic","Asian","American 
Indian","Unknown
Race","Total 
Males","Percent"
"Less than 1 year","38","31","0","0","6","0","75","0.35%"
"1 - 2 Years","1,142","727","16","6","4","1","1,896","8.74%"
"3 - 5 Years","3,773","2,032","31","8","2","1","5,847","26.95%"
"6 - 10 Years","4,314","1,533","33","8","6","0","5,894","27.16%"
"11 - 20 Years","2,429","734","25","3","3","1","3,195","14.72%"
"21 -30 Years","715","197","7","0","1","0","920","4.24%"
"Greater Than 30 Years","501","127","2","1","0","0","631","2.91%"
"Life","1,231","475","3","3","0","0","1,712","7.89%"
"Death","36","31","0","1","0","0","68","0.31%"
"Verification Pending","888","548","8","4","1","11","1,460","6.73%"
"","","","","","","","",""
"Avg Sentence Length
17.28
15.15
11.25
18.49
7.52","","","","","","","",""
"TOTAL
15,084
6,450
136
52
31
14
21,698
100.00%","","","","","","","",""
