"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"SEX OFFENSES","","","","","","","","","","",""
"Capital Rape","14","11","0","0","0","0","1","0","0","26","1.55%"
"Child Molesting","52","125","1","1","0","1","0","0","0","180","10.71%"
"Entice Child for Indecent Purposes","0","0","0","0","0","1","0","0","0","1","0.06%"
"Exploitation of a Child","1","17","0","0","0","0","0","0","1","19","1.13%"
"Failure to Register - Sexual Offender","3","4","0","0","0","0","0","0","0","7","0.42%"
"Fondling","1","4","0","0","0","0","0","0","0","5","0.30%"
"Fondling a Child","36","48","3","0","0","0","0","0","0","87","5.18%"
"Gratification - Lust","10","20","1","0","0","0","0","0","0","31","1.84%"
"Incest Minor","0","1","0","0","0","0","0","0","0","1","0.06%"
"Liquor-Posses","0","1","0","0","0","0","0","0","0","1","0.06%"
"Man/Liquor","0","1","0","0","0","0","0","0","0","1","0.06%"
"Peeping Tom","8","6","0","0","0","0","0","0","0","14","0.83%"
"Prostitution","1","0","0","0","0","0","0","0","0","1","0.06%"
"Rape","354","97","1","0","0","0","0","0","0","452","26.89%"
"Rape with Weapon","1","0","0","0","0","0","0","0","0","1","0.06%"
"Sex Assault","102","88","0","1","0","0","1","0","0","192","11.42%"
"Sex Assault - Sodomy Man","1","0","0","0","0","0","0","0","0","1","0.06%"
"Sex Offenses","14","12","0","1","0","0","0","0","0","27","1.61%"
"Sexual Battery","192","239","2","3","0","3","6","0","0","445","26.47%"
"Statutory Rape","110","53","0","2","0","0","0","0","0","165","9.82%"
"Unlawful Touching a Child","10","13","1","0","0","0","0","0","0","24","1.43%"
"Total","910","740","9","8","0","5","8","0","1","1,681","100.00%"
