"MALES
FEMALES
Data
Offenses
Total
Percent
Black
White
Hispanic
Other
Unavailable
Black
White
Hispanic
Other","","","","","","","","","","",""
"SALE OF DRUGS","","","","","","","","","","",""
"Amphetamine Manufacturing","0","0","0","0","0","0","1","0","0","1","0.02%"
"Amphetamine Sale","0","1","0","0","0","0","0","0","0","1","0.02%"
"Cocaine Sale","2,340","54","1","0","0","224","26","0","2","2,647","61.99%"
"Cocaine Smuggle","1","0","0","0","0","0","0","0","0","1","0.02%"
"Delivery Controlled Substance","539","74","2","3","0","64","23","1","0","706","16.53%"
"Marijuana Production","3","13","1","0","0","0","0","0","0","17","0.40%"
"Marijuana Sale","239","79","5","1","0","10","6","0","0","340","7.96%"
"Marijuana Smuggle","0","0","0","0","0","1","0","0","0","1","0.02%"
"Production Controlled Substance","6","138","1","0","0","1","21","0","0","167","3.91%"
"Sale Controlled Substance","214","121","1","0","0","22","30","0","1","389","9.11%"
"Total","3,342","480","11","4","0","322","107","1","3","4,270","100.00%"
